# f1_exp_093_238_OM.dat                                                         
#                                                                               
# Z = 93, A = 238                                                               
# No. of entries: 47                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: T. G. Tornyi et al., Phys. Rev. C 89, 044323 (2014)                   
#    E         dE       f1           df1                                        
   117.371   121.372    0.000E+00    0.000E+00
   238.743   121.372    0.000E+00    0.000E+00
   360.115   121.372    0.000E+00    0.000E+00
   481.487   121.372    0.000E+00    0.000E+00
   602.859   121.372    0.000E+00    0.000E+00
   724.231   121.372    0.000E+00    0.000E+00
   845.603   121.372    0.000E+00    0.000E+00
   966.975   121.372    0.000E+00    0.000E+00
  1088.347   121.372    0.176E-07    0.480E-09
  1209.719   121.372    0.230E-07    0.610E-09
  1331.091   121.372    0.267E-07    0.627E-09
  1452.463   121.372    0.296E-07    0.688E-09
  1573.835   121.372    0.366E-07    0.726E-09
  1695.207   121.372    0.425E-07    0.885E-09
  1816.579   121.372    0.504E-07    0.926E-09
  1937.951   121.372    0.567E-07    0.108E-08
  2059.323   121.372    0.583E-07    0.101E-08
  2180.695   121.372    0.604E-07    0.943E-09
  2302.067   121.372    0.622E-07    0.115E-08
  2423.439   121.372    0.633E-07    0.161E-08
  2544.811   121.372    0.633E-07    0.136E-08
  2666.183   121.372    0.665E-07    0.159E-08
  2787.555   121.372    0.678E-07    0.149E-08
  2908.927   121.372    0.684E-07    0.164E-08
  3030.299   121.372    0.694E-07    0.180E-08
  3151.671   121.372    0.737E-07    0.175E-08
  3273.043   121.372    0.777E-07    0.189E-08
  3394.415   121.372    0.833E-07    0.187E-08
  3515.787   121.372    0.934E-07    0.216E-08
  3637.159   121.372    0.106E-06    0.246E-08
  3758.531   121.372    0.106E-06    0.279E-08
  3879.903   121.372    0.121E-06    0.310E-08
  4001.275   121.372    0.125E-06    0.425E-08
  4122.647   121.372    0.134E-06    0.429E-08
  4244.019   121.372    0.160E-06    0.644E-08
  4365.391   121.372    0.186E-06    0.741E-08
  4486.763   121.372    0.254E-06    0.986E-08
  4608.135   121.372    0.268E-06    0.136E-07
  4729.507   121.372    0.303E-06    0.137E-07
  4850.879   121.372    0.391E-06    0.194E-07
  4972.251   121.372    0.444E-06    0.273E-07
  5093.623   121.372    0.592E-06    0.383E-07
  5214.995   121.372    0.753E-06    0.506E-07
  5336.367   121.372    0.844E-06    0.833E-07
  5457.739   121.372    0.660E-06    0.141E-06
  5579.111   121.372    0.112E-05    0.308E-06
  5700.483   121.372    0.668E-06    0.431E-06
