# f1_exp_022_046_PG_2008Fed.dat                                                
#                                                                               
# Z = 22, A = 46                                                                
# No. of entries: 61                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: By P. Dimitriou from Fedorets et al., Phys. At. Nuclei 71, 1325 (2008)         
#    E         dE       f1           df1                                        
     6.518     0.000   0.640E-08   0.112E-08
     6.594     0.000   0.733E-08   0.325E-08
     6.706     0.000   0.687E-08   0.830E-09
     6.745     0.000   0.834E-08   0.191E-08
     6.762     0.000   0.508E-08   0.000E+00
     6.782     0.000   0.782E-08   0.000E+00
     6.820     0.000   0.942E-08   0.150E-08
     6.838     0.000   0.747E-08   0.125E-08
     6.894     0.000   0.585E-08   0.740E-09
     6.914     0.000   0.895E-08   0.170E-08
     6.951     0.000   0.850E-08   0.361E-08
     6.989     0.000   0.752E-08   0.163E-08
     7.025     0.000   0.438E-08   0.529E-09
     7.100     0.000   0.535E-08   0.466E-09
     7.158     0.000   0.883E-08   0.259E-08
     7.233     0.000   0.787E-08   0.000E+00
     7.234     0.000   0.936E-08   0.149E-08
     7.289     0.000   0.733E-08   0.106E-08
     7.403     0.000   0.877E-08   0.160E-08
     7.497     0.000   0.906E-08   0.179E-08
     7.740     0.000   0.548E-08   0.159E-08
     7.741     0.000   0.817E-08   0.118E-08
     7.835     0.000   0.714E-08   0.109E-08
     7.908     0.000   0.452E-08   0.000E+00
     7.909     0.000   0.632E-08   0.137E-08
     7.910     0.000   0.683E-08   0.134E-08
     7.948     0.000   0.894E-08   0.123E-08
     8.023     0.000   0.761E-08   0.000E+00
     8.098     0.000   0.786E-08   0.000E+00
     8.115     0.000   0.467E-08   0.181E-08
     8.247     0.000   0.418E-08   0.409E-09
     8.324     0.000   0.812E-08   0.294E-08
     8.398     0.000   0.624E-08   0.169E-08
     8.455     0.000   0.781E-08   0.673E-09
     8.493     0.000   0.929E-08   0.141E-08
     8.643     0.000   0.640E-08   0.000E+00
     8.681     0.000   0.781E-08   0.736E-09
     8.736     0.000   0.589E-08   0.116E-08
     8.756     0.000   0.723E-08   0.000E+00
     8.774     0.000   0.636E-08   0.000E+00
     8.926     0.000   0.860E-08   0.163E-08
     9.056     0.000   0.581E-08   0.000E+00
     9.076     0.000   0.883E-08   0.141E-08
     9.187     0.000   0.485E-08   0.953E-09
     9.188     0.000   0.709E-08   0.146E-08
     9.281     0.000   0.467E-08   0.616E-09
     9.375     0.000   0.538E-08   0.000E+00
     9.395     0.000   0.648E-08   0.103E-08
     9.470     0.000   0.766E-08   0.187E-08
     9.507     0.000   0.507E-08   0.726E-09
     9.565     0.000   0.917E-08   0.930E-09
     9.640     0.000   0.776E-08   0.136E-08
     9.846     0.000   0.791E-08   0.181E-08
     9.902     0.000   0.686E-08   0.790E-09
     9.941     0.000   0.929E-08   0.155E-08
    10.050     0.000   0.991E-08   0.912E-09
    10.150     0.000   0.106E-07   0.122E-08
    10.510     0.000   0.148E-07   0.600E-08
    11.110     0.000   0.162E-07   0.346E-08
    12.240     0.000   0.301E-07   0.381E-08
    13.140     0.000   0.424E-07   0.854E-08
