# f1_exp_023_051_pg_1979ER05.dat
#
# Z = 23, A = 51
# No. of entries: 20
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4,5: asymmetric uncertainty df1+-df1- in MeV^-3
# Format: 2f10.3, 3e12.3
# Author: M. Wiedeking from Erlandsson Nucl. Phys. A329, 1 (1979). 
#    E         dE       f1           df1+          df1-
     10.661    0.500    3.090E-08    0.390E-08     0.390E-08
     10.341    0.500    2.760E-08    0.350E-08     0.350E-08
     9.733     0.500    2.580E-08    0.320E-08     0.320E-08
     8.848     0.500    2.920E-08    9.700E-09     9.700E-09
     8.250     0.500    1.960E-08    2.500E-09     2.500E-09
     8.115     0.500    1.810E-08    2.600E-09     2.600E-09
     7.984     0.500    1.800E-08    2.400E-09     2.400E-09
     7.578     0.500    1.810E-08    2.500E-09     2.500E-09
     7.445     0.500    2.000E-08    3.200E-09     3.200E-09
     7.395     0.500    1.730E-08    2.600E-09     4.600E-09  
     7.380     0.500    1.280E-08    4.600E-09     1.900E-09
     7.206     0.500    1.410E-08    3.300E-09     3.100E-09
     6.913     0.500    1.360E-08    3.200E-09     3.000E-09
     6.879     0.500    1.210E-08    7.200E-09     2.600E-09
     6.860     0.500    1.410E-08    3.300E-09     3.100E-09
     6.787     0.500    1.520E-08    2.200E-09     2.200E-09
     6.631     0.500    1.540E-08    3.000E-09     3.000E-09
     6.461     0.500    1.160E-08    3.900E-09     3.500E-09
     6.421     0.500    1.240E-08    2.200E-09     2.200E-09
     6.396     0.500    1.490E-08    3.900E-09     6.900E-09
