# f1_exp_023_051_PG_1992NE05.dat                                               
#                                                                               
# Z = 23, A = 51                                                                
# No. of entries: 21                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4,5: asymmetric uncertainty df1+-df1- in MeV^-3                                              
# Format: 2f10.3, 3e12.3                                                        
# Author: By P. Dimitriou from Nemashkalo et al., Sov.J.Nucl.Phys. 55, 69 (1992)
#    E         dE       f1           df1+        df1-                                
     8.870     0.000   0.388E-08   0.425E-09   0.603E-09
     8.964     0.000   0.523E-08   0.804E-09   0.756E-09
     9.051     0.000   0.368E-08   0.566E-09   0.613E-09
     9.225     0.000   0.388E-08   0.425E-09   0.729E-09
     9.355     0.000   0.383E-08   0.475E-09   0.637E-09
     9.464     0.000   0.715E-08   0.121E-08   0.119E-08
     9.565     0.000   0.825E-08   0.152E-08   0.146E-08
     9.819     0.000   0.783E-08   0.971E-09   0.130E-08
    10.020     0.000   0.939E-08   0.144E-08   0.166E-08
    10.120     0.000   0.706E-08   0.979E-09   0.125E-08
    10.270     0.000   0.783E-08   0.120E-08   0.122E-08
    10.400     0.000   0.753E-08   0.150E-08   0.133E-08
    10.520     0.000   0.825E-08   0.152E-08   0.164E-08
    10.670     0.000   0.573E-08   0.967E-09   0.101E-08
    10.760     0.000   0.927E-08   0.142E-08   0.164E-08
    10.880     0.000   0.104E-07   0.192E-08   0.184E-08
    10.980     0.000   0.846E-08   0.143E-08   0.168E-08
    11.060     0.000   0.116E-07   0.160E-08   0.192E-08
    11.160     0.000   0.903E-08   0.139E-08   0.160E-08
    11.260     0.000   0.117E-07   0.234E-08   0.232E-08
    11.350     0.000   0.139E-07   0.234E-08   0.275E-08
    11.450     0.000   0.125E-07   0.173E-08   0.248E-08
