# f1_exp_025_053_PG_1988BO35.dat                                           
#                                                                               
# Z = 25, A = 53                                                                
# No. of entries: 23                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: By P. Dimitriou from Bondarenko et al., Yad.Fiz. 48, 623 (1988)                
#    E         dE       f1           df1                                        
     6.905     0.000   0.197E-08   0.000E+00
     7.141     0.000   0.117E-08   0.000E+00
     7.323     0.000   0.106E-08   0.000E+00
     7.546     0.000   0.139E-08   0.000E+00
     7.783     0.000   0.116E-08   0.000E+00
     8.036     0.000   0.206E-08   0.000E+00
     8.343     0.000   0.205E-08   0.000E+00
     8.622     0.000   0.199E-08   0.000E+00
     7.829     0.000   0.376E-08   0.000E+00
     8.052     0.000   0.387E-08   0.000E+00
     8.274     0.000   0.256E-08   0.000E+00
     8.442     0.000   0.307E-08   0.000E+00
     8.693     0.000   0.278E-08   0.000E+00
     8.931     0.000   0.351E-08   0.000E+00
     9.224     0.000   0.310E-08   0.000E+00
     9.518     0.000   0.366E-08   0.000E+00
     8.219     0.000   0.364E-08   0.000E+00
     8.413     0.000   0.233E-08   0.000E+00
     8.650     0.000   0.233E-08   0.000E+00
     8.668     0.000   0.493E-08   0.000E+00
     8.821     0.000   0.487E-08   0.000E+00
     9.336     0.000   0.344E-08   0.000E+00
     9.629     0.000   0.349E-08   0.000E+00
