# f1_exp_025_055_PG_1983NE03.dat                                          
#                                                                               
# Z = 25, A = 55                                                                
# No. of entries: 22                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: By P. Dimitriou from Nemashkalo et al., Yad.Fiz. 37, 3 (1983)                  
#    E         dE       f1           df1                                        
     7.052     0.000   0.454E-06   0.779E-07
     7.202     0.000   0.135E-05   0.215E-06
     7.351     0.000   0.346E-06   0.539E-07
     7.528     0.000   0.770E-06   0.120E-06
     7.569     0.000   0.594E-06   0.102E-06
     7.727     0.000   0.783E-06   0.961E-07
     8.047     0.000   0.548E-06   0.163E-06
     8.404     0.000   0.779E-06   0.121E-06
     9.804     0.000   0.114E-05   0.197E-06
     9.930     0.000   0.974E-06   0.152E-06
     7.232     0.000   0.400E-06   0.152E-06
     7.383     0.000   0.527E-06   0.195E-06
     7.537     0.000   0.401E-06   0.134E-06
     8.227     0.000   0.489E-06   0.177E-06
     8.584     0.000   0.706E-06   0.228E-06
     9.997     0.000   0.820E-06   0.273E-06
    10.100     0.000   0.105E-05   0.253E-06
     7.667     0.000   0.866E-06   0.149E-06
     7.985     0.000   0.105E-05   0.275E-06
     8.730     0.000   0.687E-06   0.158E-06
    10.130     0.000   0.753E-06   0.120E-06
    10.250     0.000   0.107E-05   0.257E-06


