# f1_exp_027_059_PG_Rat2000.dat                                                
#                                                                               
# Z = 27, A = 59                                                                
# No. of entries: 23                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Ratkevich et al., Phys. At. Nuclei, 63, 1497 (2000)      
#    E         dE       f1           df1                                        
     6.772     0.000   0.557E-08   0.144E-08
     6.870     0.000   0.563E-08   0.146E-08
     6.957     0.000   0.283E-08   0.693E-09
     7.033     0.000   0.393E-08   0.991E-09
     7.098     0.000   0.109E-07   0.289E-08
     7.163     0.000   0.397E-08   0.106E-08
     7.228     0.000   0.596E-08   0.146E-08
     7.348     0.000   0.895E-08   0.226E-08
     7.402     0.000   0.828E-08   0.215E-08
     7.467     0.000   0.109E-07   0.274E-08
     7.598     0.000   0.703E-08   0.831E-09
     7.663     0.000   0.670E-08   0.107E-08
     7.978     0.000   0.967E-08   0.131E-08
     8.022     0.000   0.745E-08   0.107E-08
     8.120     0.000   0.913E-08   0.138E-08
     8.435     0.000   0.104E-07   0.148E-08
     8.696     0.000   0.913E-08   0.189E-08
     8.728     0.000   0.101E-07   0.246E-08
     8.761     0.000   0.940E-08   0.202E-08
     8.891     0.000   0.112E-07   0.170E-08
     8.989     0.000   0.940E-08   0.127E-08
     9.076     0.000   0.103E-07   0.172E-08
    10.170     0.000   0.115E-07   0.193E-08
