# f1_exp_029_061_PG_1982NE06.dat                                           
#                                                                               
# Z = 29, A = 61                                                                
# No. of entries: 22                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Nemashkalo et al., Yad.Fiz. 36, 280 (1982)                
#    E         dE       f1           df1                                        
     5.766     0.000   0.504E-07   0.156E-07
     5.781     0.000   0.101E-06   0.635E-07
     5.813     0.000   0.743E-07   0.379E-07
     5.853     0.000   0.735E-07   0.174E-07
     6.132     0.000   0.150E-06   0.313E-07
     6.192     0.000   0.154E-06   0.377E-07
     6.337     0.000   0.124E-06   0.281E-07
     6.543     0.000   0.919E-07   0.201E-07
     7.043     0.000   0.148E-06   0.322E-07
     7.509     0.000   0.177E-06   0.434E-07
     5.025     0.000   0.485E-07   0.246E-07
     5.159     0.000   0.482E-07   0.142E-07
     5.274     0.000   0.451E-07   0.245E-07
     5.384     0.000   0.969E-07   0.345E-07
     5.537     0.000   0.245E-07   0.110E-07
     5.641     0.000   0.545E-07   0.287E-07
     5.830     0.000   0.125E-06   0.347E-07
     6.000     0.000   0.110E-06   0.387E-07
     6.416     0.000   0.150E-06   0.419E-07
     6.861     0.000   0.109E-06   0.278E-07
     7.266     0.000   0.165E-06   0.315E-07
     7.738     0.000   0.189E-06   0.497E-07
