# f1_exp_029_061_pg_1982NI05.dat
#
# Z = 29, A = 61
# No. of entries: 16
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Wiedeking from Nilson, Nucl. Phys. A391, 61 (1982). 
#    E         dE       f1           df1
     8.305     0.375    2.600E-08    4.000E-09
     7.830     0.375    2.200E-08    3.000E-09
     7.335     0.375    1.700E-08    2.000E-09
     6.995     0.375    1.320E-08    1.700E-09
     6.911     0.375    1.590E-08    1.900E-09
     6.645     0.375    8.100E-09    1.000E-09
     6.573     0.375    1.000E-08    1.300E-09
     6.401     0.375    1.200E-08    1.700E-09
     6.217     0.375    1.010E-08    1.200E-09
     6.102     0.375    9.100E-09    1.100E-09
     6.010     0.375    1.600E-08    2.000E-09
     5.969     0.375    9.600E-09    1.400E-09
     5.907     0.375    6.500E-09    8.000E-10
     5.833     0.375    6.800E-09    9.000E-10
     5.621     0.375    6.600E-09    8.000E-10
     5.513     0.375    7.300E-09    1.000E-09
