# f1_exp_029_063_PG_1982NE06.dat                                          
#                                                                               
# Z = 29, A = 63                                                                
# No. of entries: 31                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Nemashkalo et al., Yad.Fiz. 36, 280 (1982)                
#    E         dE       f1           df1                                        
     6.224     0.000   0.119E-07   0.305E-08
     6.275     0.000   0.419E-08   0.642E-09
     6.331     0.000   0.436E-08   0.181E-08
     6.461     0.000   0.348E-08   0.855E-09
     6.758     0.000   0.807E-08   0.166E-08
     6.918     0.000   0.112E-07   0.264E-08
     7.348     0.000   0.134E-07   0.276E-08
     8.318     0.000   0.243E-07   0.372E-08
     7.012     0.000   0.134E-07   0.355E-08
     7.159     0.000   0.110E-07   0.321E-08
     7.472     0.000   0.110E-07   0.290E-08
     7.605     0.000   0.144E-07   0.282E-08
     7.655     0.000   0.148E-07   0.320E-08
     7.681     0.000   0.194E-07   0.471E-08
     8.044     0.000   0.238E-07   0.441E-08
     8.364     0.000   0.204E-07   0.356E-08
     6.147     0.000   0.876E-08   0.952E-09
     6.251     0.000   0.124E-07   0.317E-08
     6.345     0.000   0.145E-07   0.371E-08
     6.443     0.000   0.225E-07   0.596E-08
     6.587     0.000   0.124E-07   0.383E-08
     6.634     0.000   0.902E-08   0.213E-08
     6.793     0.000   0.594E-08   0.256E-08
     7.107     0.000   0.145E-07   0.208E-08
     7.259     0.000   0.511E-08   0.177E-08
     7.569     0.000   0.196E-07   0.462E-08
     7.709     0.000   0.215E-07   0.589E-08
     7.779     0.000   0.297E-07   0.729E-08
     8.136     0.000   0.360E-07   0.813E-08
     8.451     0.000   0.296E-07   0.698E-08
     9.111     0.000   0.319E-07   0.488E-08
