# f1_exp_029_065_PG_1979ER10.dat                                                
#                                                                               
# Z = 29, A = 65                                                                
# No. of entries: 21                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4,5: asymmetric uncertainties +df1+-df1- in MeV^-3                                           
# Format: 2f10.3, 3e12.3                                                        
# Author: M. Wiedeking from Erlandsson et al., Z. Physik A 293, 43-51 (1979)          
#    E         dE       f1           +df1+       -df1-                                        
     5.560     0.000   0.164E-07   0.646E-08   0.385E-08
     5.639     0.000   0.174E-07   0.673E-08   0.423E-08
     6.034     0.000   0.235E-07   0.395E-08   0.284E-08
     6.350     0.000   0.258E-07   0.619E-08   0.106E-07
     6.414     0.000   0.231E-07   0.332E-08   0.416E-08
     6.605     0.000   0.236E-07   0.368E-08   0.415E-08
     6.809     0.000   0.307E-07   0.175E-07   0.157E-07
     6.921     0.000   0.273E-07   0.151E-07   0.933E-08
     7.048     0.000   0.264E-07   0.396E-08   0.476E-08
     7.160     0.000   0.246E-07   0.415E-08   0.433E-08
     7.285     0.000   0.290E-07   0.311E-08   0.350E-08
     7.364     0.000   0.337E-07   0.652E-08   0.454E-08
     7.444     0.000   0.274E-07   0.328E-08   0.395E-08
     7.584     0.000   0.417E-07   0.498E-08   0.639E-08
     7.667     0.000   0.259E-07   0.585E-08   0.533E-08
     7.919     0.000   0.342E-07   0.367E-08   0.493E-08
     8.029     0.000   0.391E-07   0.490E-08   0.398E-08
     8.188     0.000   0.371E-07   0.311E-08   0.466E-08
     8.551     0.000   0.480E-07   0.375E-08   0.489E-08
     8.901     0.000   0.420E-07   0.279E-08   0.283E-08
     9.660     0.000   0.602E-07   0.718E-08   0.670E-08
