# f1_exp_029_065_PG_1983NE03.dat                                          
#                                                                               
# Z = 29, A = 65                                                                
# No. of entries: 25                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Nemashkalo et al., Yad.Fiz. 37, 3 (1983)                  
#    E         dE       f1           df1                                        
     6.243     0.000   0.206E-07   0.000E+00
     6.292     0.000   0.207E-07   0.605E-08
     6.788     0.000   0.265E-07   0.580E-08
     6.883     0.000   0.164E-07   0.430E-08
     6.904     0.000   0.861E-07   0.207E-07
     7.120     0.000   0.540E-07   0.144E-07
     7.248     0.000   0.261E-07   0.000E+00
     7.461     0.000   0.303E-07   0.595E-08
     7.575     0.000   0.306E-07   0.100E-07
     7.675     0.000   0.450E-07   0.112E-07
     8.062     0.000   0.342E-07   0.749E-08
     8.171     0.000   0.486E-07   0.112E-07
     8.308     0.000   0.453E-07   0.124E-07
     8.681     0.000   0.486E-07   0.117E-07
     9.184     0.000   0.451E-07   0.114E-07
     9.778     0.000   0.523E-07   0.114E-07
     7.402     0.000   0.331E-07   0.870E-08
     7.519     0.000   0.362E-07   0.911E-08
     7.635     0.000   0.472E-07   0.148E-07
     7.996     0.000   0.361E-07   0.832E-08
     8.111     0.000   0.521E-07   0.120E-07
     8.249     0.000   0.494E-07   0.114E-07
     8.623     0.000   0.401E-07   0.106E-07
     9.124     0.000   0.603E-07   0.132E-07
     9.726     0.000   0.507E-07   0.686E-08
