# f1_exp_030_064_PG_1980ER05.dat                                     
#                                                                               
# Z = 30, A = 64                                                               
# No. of entries:  14                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Krticka forom B. Erlandsson Nuclear Physics A343, 197 (1980)
#    E         dE       f1           df1                                        
     6.390     0.000   1.160E-08   0.360E-08
     6.510     0.000   1.290E-08   0.260E-08
     6.710     0.000   1.860E-08   0.280E-08
     6.890     0.000   1.430E-08   0.220E-08
     7.230     0.000   1.750E-08   0.450E-08
     7.330     0.000   1.630E-08   0.230E-08
     7.520     0.000   1.710E-08   0.230E-08
     7.570     0.000   2.170E-08   0.290E-08
     7.700     0.000   1.850E-08   0.300E-08
     8.000     0.000   2.400E-08   0.310E-08
     8.400     0.000   2.270E-08   0.360E-08
     8.510     0.000   2.840E-08   0.350E-08
     9.320     0.000   3.650E-08   0.450E-08
    10.310     0.000   5.080E-08   0.630E-08
