# f1_exp_030_064_PG_2003NE20.dat                                       
#                                                                               
# Z = 30, A = 64                                                                
# No. of entries: 23                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Nemashkalo et al., Bull.Rus.Acad.Sci.Phys. 67, 1717 (2003)
#    E         dE       f1           df1                                        
     7.074     0.000   0.417E-08   0.000E+00
     7.316     0.000   0.479E-08   0.000E+00
     7.505     0.000   0.559E-08   0.000E+00
     7.909     0.000   0.680E-08   0.000E+00
     8.311     0.000   0.590E-08   0.000E+00
     8.421     0.000   0.861E-08   0.000E+00
     9.229     0.000   0.114E-07   0.000E+00
    10.170     0.000   0.148E-07   0.000E+00
     7.126     0.000   0.357E-08   0.000E+00
     7.476     0.000   0.394E-08   0.000E+00
     7.585     0.000   0.486E-08   0.000E+00
     7.880     0.000   0.486E-08   0.000E+00
     8.283     0.000   0.492E-08   0.000E+00
     8.447     0.000   0.738E-08   0.000E+00
     9.227     0.000   0.962E-08   0.000E+00
    10.170     0.000   0.131E-07   0.000E+00
     7.151     0.000   0.266E-08   0.000E+00
     7.152     0.000   0.329E-08   0.000E+00
     7.554     0.000   0.281E-08   0.000E+00
     7.609     0.000   0.328E-08   0.000E+00
     8.282     0.000   0.428E-08   0.000E+00
     9.227     0.000   0.872E-08   0.000E+00
    10.170     0.000   0.119E-07   0.000E+00
