# f1_exp_031_069_PG_1983NI04.dat
#
# Z = 31, A = 69
# No. of entries: 30
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Wiedeking from Nilson, Nucl. Phys. A401, 460 (1983). 
#    E         dE       f1           df1
     9.910     0.215    3.300E-08    5.000E-09
     9.590     0.215    3.000E-08    4.000E-09
     9.340     0.215    3.100E-08    5.000E-09
     9.040     0.215    2.300E-08    4.000E-09
     8.880     0.215    2.800E-08    4.000E-09
     8.800     0.215    2.600E-08    4.000E-09
     8.570     0.215    1.800E-08    3.000E-09
     8.420     0.215    2.500E-08    4.000E-09
     8.020     0.215    1.900E-08    3.000E-09
     7.870     0.215    1.400E-08    2.000E-09
     7.690     0.215    1.400E-08    2.000E-09
     7.660     0.215    1.800E-08    3.000E-09
     7.420     0.215    1.700E-08    3.000E-09
     7.390     0.215    1.900E-08    3.000E-09
     7.250     0.215    1.300E-08    2.000E-09
     9.010     0.255    2.500E-08    4.000E-09
     8.690     0.255    1.900E-08    3.000E-09
     8.440     0.255    2.600E-08    4.000E-09
     8.140     0.255    1.800E-08    3.000E-09
     7.980     0.255    1.700E-08    2.000E-09
     7.900     0.255    1.900E-08    3.000E-09
     7.670     0.255    1.400E-08    2.000E-09
     7.520     0.255    1.500E-08    2.000E-09
     7.120     0.255    1.400E-08    2.000E-09
     6.970     0.255    1.500E-08    3.000E-09
     6.790     0.255    1.100E-08    2.000E-09
     6.760     0.255    1.000E-08    2.000E-09
     6.530     0.255    1.100E-08    2.000E-09
     6.490     0.255    1.100E-08    2.000E-09
     6.350     0.255    8.000E-09    1.000E-09

