# f1_exp_033_071_PG_1979SZ06.dat
#
# Z = 33, A = 71
# No. of entries: 16
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Wiedeking from Szeflinska et al., Nuclear Phys A323, 253 (1979).
#    E         dE       f1           df1 
     8.070     0.450    5.460E-08    0.280E-08
     7.927     0.450    5.160E-08    0.310E-08
     7.923     0.450    5.160E-08    0.310E-08
     7.562     0.450    3.970E-08    0.290E-08
     7.239     0.450    4.180E-08    0.250E-08
     7.199     0.450    4.400E-08    0.280E-08
     7.076     0.450    4.580E-08    0.280E-08
     7.062     0.450    4.450E-08    0.280E-08
     6.938     0.450    4.400E-08    0.310E-08
     6.823     0.450    4.160E-08    0.290E-08
     6.654     0.450    3.620E-08    0.270E-08
     6.601     0.450    4.140E-08    0.270E-08
     6.533     0.450    3.850E-08    0.320E-08
     6.335     0.450    4.140E-08    0.650E-08
     6.239     0.450    3.560E-08    0.310E-08
     6.217     0.450    3.510E-08    0.300E-08
