# f1_exp_033_073_PG_1979SZ06.dat
#
# Z = 33, A = 73
# No. of entries: 13
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Krticka from Szeflinska et al, Nucl Phys A323, 253 (1979).
#    E         dE       f1           df1 
     9.100     0.450   0.781E-07   0.270E-08
     9.033     0.450   0.918E-07   0.650E-08
     9.016     0.450   0.773E-07   0.340E-08
     8.846     0.450   0.789E-07   0.420E-08
     8.706     0.450   0.727E-07   0.310E-08
     8.672     0.450   0.959E-07   0.265E-07
     8.590     0.450   0.682E-07   0.480E-08
     8.444     0.450   0.724E-07   0.470E-08
     8.214     0.450   0.774E-07   0.430E-08
     8.206     0.450   0.550E-07   0.129E-07
     7.910     0.450   0.546E-07   0.400E-08
     7.776     0.450   0.804E-07   0.780E-08
     7.756     0.450   0.635E-07   0.126E-07
