# f1_exp_033_075_PG_1979SZ06.dat
#
# Z = 33, A = 75
# No. of entries: 23
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Krticka from Szeflinska et al., Nucl Phys A323, 253 (1979).
#    E         dE       f1           df1 
     9.400     0.300   0.928E-07   0.280E-08
     9.201     0.300   0.873E-07   0.350E-08
     9.135     0.300   0.846E-07   0.350E-08
     9.121     0.300   0.121E-06   0.930E-08
     9.096     0.300   0.527E-07   0.312E-07
     8.999     0.300   0.669E-07   0.390E-08
     8.931     0.300   0.711E-07   0.400E-08
     8.827     0.300   0.115E-06   0.760E-08
     8.781     0.300   0.101E-06   0.550E-08
     8.578     0.300   0.742E-07   0.450E-07
     8.539     0.300   0.873E-07   0.480E-08
     8.514     0.300   0.650E-07   0.920E-08
     8.356     0.300   0.831E-07   0.487E-07
     8.325     0.300   0.685E-07   0.330E-08
     8.271     0.300   0.705E-07   0.350E-08
     8.196     0.300   0.586E-07   0.310E-08
     8.049     0.300   0.667E-07   0.350E-08
     8.029     0.300   0.501E-07   0.164E-07
     7.967     0.300   0.681E-07   0.360E-08
     7.896     0.300   0.552E-07   0.620E-08
     7.794     0.300   0.720E-07   0.410E-08
     7.526     0.300   0.617E-07   0.540E-08
     7.331     0.300   0.581E-07   0.450E-08
