# f1_exp_039_089_PG_1979SZ06.dat
#
# Z = 39, A = 89
# No. of entries: 22
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Krticka from Szeflinska et al., Nucl Phys A323, 253 (1979)
#    E         dE       f1           df1 
    10.400     0.500   0.830E-07   0.150E-08
     9.591     0.500   0.849E-07   0.470E-08
     8.892     0.500   0.614E-07   0.140E-08
     8.655     0.500   0.586E-07   0.190E-08
     8.175     0.500   0.469E-07   0.220E-08
     7.869     0.500   0.395E-07   0.120E-07
     7.772     0.500   0.315E-07   0.113E-07
     7.713     0.500   0.245E-07   0.116E-07
     7.520     0.500   0.381E-07   0.160E-08
     7.333     0.500   0.330E-07   0.250E-08
     7.295     0.500   0.334E-07   0.310E-08
     7.261     0.500   0.275E-07   0.400E-08
     7.152     0.500   0.330E-07   0.220E-08
     6.990     0.500   0.233E-07   0.900E-08
     6.950     0.500   0.386E-07   0.410E-08
     6.898     0.500   0.290E-07   0.400E-08
     6.848     0.500   0.323E-07   0.430E-08
     6.685     0.500   0.293E-07   0.510E-08
     6.554     0.500   0.178E-07   0.320E-08
     6.537     0.500   0.274E-07   0.400E-08
     6.407     0.500   0.240E-07   0.340E-08
     6.227     0.500   0.203E-07   0.210E-08
