# f1_exp_040_090_PG_1983SZ02.dat                                               
#                                                                               
# Z = 40, A = 90                                                                
# No. of entries: 48                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou/M. Wiedeking 1.761MeV subtracted, Szeflinska et al., Phys.Lett. 126B, 159 (1983)            
#    E         dE       f1           df1                                        
     9.229      0     5.790E-08     6.170E-09
     8.909      0     6.040E-08     8.610E-09
     9.019	0     6.100E-08	   7.980E-09
     9.129	0     6.130E-08	   1.030E-08
     9.579	0     6.990E-08	   7.950E-09
     9.709	0     7.100E-08	   7.240E-09
     9.339	0     7.670E-08	   6.140E-09
     9.979	0     7.740E-08	   9.650E-09
     9.469	0     7.910E-08	   8.540E-09
     11.379     0     9.030E-08     6.690E-09
     10.459     0     9.100E-08     7.170E-09
     10.309     0     9.110E-08     1.380E-08
     10.389     0     9.150E-08     5.460E-09
     9.869      0     9.700E-08     1.270E-08
     10.929     0     9.820E-08     8.650E-09
     10.279     0     1.060E-07     9.620E-09
     10.839     0     1.070E-07     9.110E-09
     10.999     0     1.080E-07     8.600E-09
     11.289     0     1.080E-07     8.640E-09
     11.099     0     1.100E-07     8.650E-09
     11.669     0     1.120E-07     1.080E-08
     11.549     0     1.130E-07     1.090E-08
     10.179     0     1.140E-07     1.620E-08
     10.739     0     1.150E-07     7.890E-09
     10.569     0     1.240E-07     1.150E-08
     12.259     0     1.240E-07     2.140E-08
     12.149     0     1.240E-07     1.490E-08
     11.179     0     1.240E-07     8.010E-09
     11.449     0     1.260E-07     9.920E-09
     10.609     0     1.270E-07     2.650E-08
     11.769     0     1.290E-07     1.250E-08
     11.639     0     1.340E-07     9.910E-09
     11.849     0     1.370E-07     1.170E-08
     12.349     0     1.570E-07     2.970E-08
     11.929     0     1.630E-07     1.050E-08
     12.459     0     1.910E-07     2.170E-08
     12.819     0     2.050E-07     4.930E-08
     12.089     0     2.210E-07     5.450E-08
     13.339     0     2.620E-07     4.640E-08
     13.799     0     4.420E-07     7.610E-08
     14.209     0     6.380E-07     9.850E-08
     15.299     0     8.050E-07     1.630E-07
     17.949     0     8.240E-07     3.800E-07
     16.479     0     9.030E-07     2.110E-07
     14.819     0     9.500E-07     3.760E-07
     17.179     0     1.040E-06     2.630E-07
     16.789     0     1.210E-06     2.750E-07
     15.969     0     1.500E-06     2.720E-07
