# f1_exp_040_090_PG_2011FE09.dat                                          
#                                                                               
# Z = 40, A = 90                                                                
# No. of entries: 21                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: P. Dimitriou from Fedorets et al., Vis.Khar.Nat.Univ. 969, 16 (2011)  
#    E         dE       f1           df1                                        
     5.890     0.343   0.226E-07   0.291E-08
     6.020     0.326   0.271E-07   0.623E-08
     6.038     0.277   0.215E-07   0.324E-08
     6.136     0.359   0.209E-07   0.709E-08
     6.445     0.359   0.246E-07   0.439E-08
     6.706     0.359   0.266E-07   0.613E-08
     6.883     0.392   0.560E-07   0.452E-08
     6.998     0.375   0.421E-07   0.582E-08
     7.276     0.343   0.337E-07   0.367E-08
     7.798     0.375   0.414E-07   0.000E+00
     8.041     0.343   0.643E-07   0.114E-07
     8.369     0.359   0.440E-07   0.396E-08
     8.939     0.343   0.570E-07   0.000E+00
     9.362     0.375   0.739E-07   0.000E+00
    11.110     0.359   0.116E-06   0.000E+00
     8.265     0.290   0.852E-07   0.185E-07
     8.814     0.285   0.842E-07   0.204E-07
     9.372     0.256   0.108E-06   0.302E-07
     9.933     0.272   0.124E-06   0.216E-07
    10.360     0.226   0.822E-07   0.197E-07
    12.110     0.222   0.142E-06   0.294E-07
