# f1_exp_040_090_PG_2015NE07.dat                                                
#                                                                               
# Z = 40, A = 90                                                                
# No. of entries: 17                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: By P. Dimitriou from Netterdon et al.,Phys.Lett. B 744, 358 (2015)    
#    E         dE       f1           df1                                        
     6.000     0.000   0.793E-07   0.917E-08
     6.500     0.000   0.111E-06   0.123E-07
     7.000     0.000   0.120E-06   0.145E-07
     7.500     0.000   0.131E-06   0.146E-07
     8.000     0.000   0.139E-06   0.191E-07
     8.500     0.000   0.131E-06   0.203E-07
     9.000     0.000   0.138E-06   0.227E-07
     9.500     0.000   0.136E-06   0.176E-07
    10.000     0.000   0.137E-06   0.195E-07
    10.500     0.000   0.243E-06   0.376E-07
    11.000     0.000   0.290E-06   0.450E-07
    11.500     0.000   0.215E-06   0.258E-07
    12.000     0.000   0.206E-06   0.328E-07
    12.500     0.000   0.292E-06   0.491E-07
    13.000     0.000   0.287E-06   0.482E-07
    13.500     0.000   0.274E-06   0.353E-07
    14.000     0.000   0.334E-06   0.386E-07
