# fe1_exp_003_006_photoabs_1986Var.dat                   
#
# Z =  3, A =  6
# No. of entries:   40
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1986Var  V.V.Varlamov, P.N.Zaikin, I.M.Kapitonov, M.V.U A.P.Chernyaev; Bull. Russ. Acad. Sci. 50, 192                                                
#    E         dE       f1           df1
     6.000     0.000    0.665E-08    0.145E-09
     6.500     0.000    0.761E-08    0.133E-09
     7.000     0.000    0.892E-08    0.124E-09
     7.500     0.000    0.104E-07    0.000E+00
     8.000     0.000    0.118E-07    0.000E+00
     8.500     0.000    0.121E-07    0.000E+00
     9.000     0.000    0.125E-07    0.964E-10
     9.500     0.000    0.130E-07    0.913E-10
    10.000     0.000    0.128E-07    0.867E-10
    10.500     0.000    0.131E-07    0.826E-10
    11.000     0.000    0.129E-07    0.789E-10
    11.500     0.000    0.129E-07    0.754E-10
    12.500     0.000    0.112E-07    0.694E-10
    13.000     0.000    0.107E-07    0.133E-09
    13.500     0.000    0.996E-08    0.128E-09
    14.500     0.000    0.909E-08    0.120E-09
    15.000     0.000    0.937E-08    0.116E-09
    15.500     0.000    0.957E-08    0.112E-09
    16.000     0.000    0.911E-08    0.163E-09
    16.500     0.000    0.836E-08    0.158E-09
    17.000     0.000    0.837E-08    0.357E-09
    17.500     0.000    0.862E-08    0.446E-09
    18.000     0.000    0.930E-08    0.675E-09
    18.500     0.000    0.103E-07    0.797E-09
    19.000     0.000    0.108E-07    0.959E-09
    19.500     0.000    0.111E-07    0.111E-08
    20.000     0.000    0.110E-07    0.113E-08
    20.500     0.000    0.107E-07    0.973E-09
    21.000     0.000    0.103E-07    0.867E-09
    21.500     0.000    0.964E-08    0.928E-09
    22.000     0.000    0.102E-07    0.166E-08
    22.500     0.000    0.103E-07    0.173E-08
    23.000     0.000    0.138E-07    0.192E-08
    23.500     0.000    0.169E-07    0.225E-08
    24.000     0.000    0.146E-07    0.239E-08
    24.500     0.000    0.126E-07    0.223E-08
    25.000     0.000    0.105E-07    0.180E-08
    25.500     0.000    0.864E-08    0.163E-08
    26.000     0.000    0.731E-08    0.143E-08
    26.500     0.000    0.655E-08    0.144E-08
