# fe1_exp_003_007_photoabs_1985Ahr.dat                   
#
# Z =  3, A =  7
# No. of entries:   44
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1985Ahr  J.Ahrens; Nucl.Phys. A446, 229c(1985).                                                                                                      
#    E         dE       f1           df1
     7.340     0.000    0.555E-09    0.118E-09
     7.570     0.000    0.493E-09    0.802E-10
     7.850     0.000    0.564E-09    0.110E-09
     8.100     0.000    0.685E-09    0.107E-09
     8.430     0.000    0.833E-09    0.103E-09
     8.750     0.000    0.952E-09    0.991E-10
     9.090     0.000    0.120E-08    0.954E-10
     9.370     0.000    0.152E-08    0.926E-10
     9.700     0.000    0.202E-08    0.894E-10
     9.910     0.000    0.510E-08    0.235E-08
    10.240     0.000    0.364E-08    0.241E-08
    10.540     0.000    0.454E-08    0.216E-08
    10.860     0.000    0.105E-07    0.198E-08
    11.190     0.000    0.108E-07    0.202E-08
    11.440     0.000    0.116E-07    0.220E-08
    11.740     0.000    0.117E-07    0.176E-08
    12.160     0.000    0.756E-08    0.154E-08
    12.520     0.000    0.115E-07    0.194E-08
    12.860     0.000    0.126E-07    0.170E-08
    13.230     0.000    0.153E-07    0.157E-08
    13.640     0.000    0.132E-07    0.161E-08
    14.040     0.000    0.159E-07    0.141E-08
    14.500     0.000    0.142E-07    0.131E-08
    14.920     0.000    0.178E-07    0.153E-08
    15.360     0.000    0.207E-07    0.126E-08
    15.840     0.000    0.178E-07    0.151E-08
    16.300     0.000    0.206E-07    0.160E-08
    16.760     0.000    0.199E-07    0.174E-08
    17.340     0.000    0.190E-07    0.178E-08
    17.820     0.000    0.172E-07    0.136E-08
    18.410     0.000    0.179E-07    0.111E-08
    18.960     0.000    0.176E-07    0.101E-08
    19.510     0.000    0.162E-07    0.956E-09
    20.090     0.000    0.152E-07    0.928E-09
    20.710     0.000    0.144E-07    0.909E-09
    21.330     0.000    0.143E-07    0.952E-09
    21.990     0.000    0.131E-07    0.880E-09
    22.650     0.000    0.127E-07    0.869E-09
    23.350     0.000    0.109E-07    0.821E-09
    24.080     0.000    0.100E-07    0.735E-09
    24.810     0.000    0.107E-07    0.766E-09
    25.560     0.000    0.896E-08    0.736E-09
    26.320     0.000    0.982E-08    0.745E-09
    27.100     0.000    0.973E-08    0.791E-09
