# fe1_exp_003_007_photoabs_1986Var.dat                   
#
# Z =  3, A =  7
# No. of entries:   40
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1986Var  V.V.Varlamov, V.V.Surgutanov, A.P.Chernyaev, N.G.Efimkin, Book: Fotojad.Dannye - Photodisint.of Li,Suppl.,Moscow 1986.                      
#    E         dE       f1           df1
     7.500     0.000    0.821E-08    0.231E-09
     8.000     0.000    0.846E-08    0.217E-09
     8.500     0.000    0.898E-08    0.306E-09
     9.000     0.000    0.916E-08    0.289E-09
     9.500     0.000    0.977E-08    0.274E-09
    10.000     0.000    0.101E-07    0.954E-09
    10.500     0.000    0.139E-07    0.909E-09
    11.000     0.000    0.165E-07    0.867E-09
    11.500     0.000    0.183E-07    0.603E-09
    12.000     0.000    0.126E-07    0.434E-09
    12.500     0.000    0.191E-07    0.104E-08
    13.000     0.000    0.211E-07    0.934E-09
    13.500     0.000    0.196E-07    0.321E-09
    14.000     0.000    0.204E-07    0.124E-08
    14.500     0.000    0.215E-07    0.120E-08
    15.000     0.000    0.199E-07    0.347E-09
    15.500     0.000    0.196E-07    0.106E-08
    16.000     0.000    0.212E-07    0.000E+00
    16.500     0.000    0.189E-07    0.526E-10
    17.000     0.000    0.206E-07    0.816E-09
    17.500     0.000    0.178E-07    0.496E-09
    18.000     0.000    0.172E-07    0.675E-09
    18.500     0.000    0.148E-07    0.656E-09
    19.000     0.000    0.146E-07    0.548E-09
    19.500     0.000    0.144E-07    0.756E-09
    20.000     0.000    0.148E-07    0.347E-09
    20.500     0.000    0.127E-07    0.423E-09
    21.000     0.000    0.950E-08    0.413E-09
    21.500     0.000    0.114E-07    0.323E-09
    22.000     0.000    0.111E-07    0.315E-09
    22.500     0.000    0.116E-07    0.385E-09
    23.000     0.000    0.916E-08    0.528E-09
    23.500     0.000    0.860E-08    0.111E-08
    24.000     0.000    0.824E-08    0.108E-08
    24.500     0.000    0.814E-08    0.106E-08
    25.000     0.000    0.770E-08    0.104E-08
    25.500     0.000    0.735E-08    0.119E-08
    26.000     0.000    0.721E-08    0.117E-08
    26.500     0.000    0.700E-08    0.115E-08
    27.000     0.000    0.636E-08    0.119E-08
