# fe1_exp_003_007_photoneut_1973Bra.dat                  
#
# Z =  3, A =  7
# No. of entries:   52
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1973Bra  R.L.Bramblett, B.L.Berman, M.A.Kelly, J.T.Caldwell, S.C.Fultz; Int.Conf.on Photonucl.Reactions,Pacific Grove 1, 175(1973).                   
#    E         dE       f1           df1
     7.350     0.000    0.543E-09    0.000E+00
     7.500     0.000    0.509E-09    0.000E+00
     7.650     0.000    0.476E-09    0.000E+00
     7.850     0.000    0.530E-09    0.000E+00
     8.150     0.000    0.660E-09    0.000E+00
     8.450     0.000    0.821E-09    0.000E+00
     8.750     0.000    0.932E-09    0.000E+00
     9.100     0.000    0.117E-08    0.000E+00
     9.400     0.000    0.148E-08    0.000E+00
     9.700     0.000    0.204E-08    0.000E+00
    10.000     0.000    0.288E-08    0.000E+00
    10.150     0.000    0.315E-08    0.000E+00
    10.350     0.000    0.362E-08    0.000E+00
    10.480     0.000    0.382E-08    0.000E+00
    10.620     0.000    0.390E-08    0.000E+00
    10.670     0.000    0.406E-08    0.000E+00
    10.780     0.000    0.420E-08    0.000E+00
    10.830     0.000    0.435E-08    0.000E+00
    11.000     0.000    0.436E-08    0.000E+00
    11.040     0.000    0.456E-08    0.000E+00
    11.110     0.000    0.476E-08    0.000E+00
    11.180     0.000    0.490E-08    0.000E+00
    11.310     0.000    0.483E-08    0.000E+00
    11.450     0.000    0.508E-08    0.000E+00
    11.580     0.000    0.539E-08    0.000E+00
    11.760     0.000    0.568E-08    0.000E+00
    11.900     0.000    0.607E-08    0.000E+00
    12.250     0.000    0.651E-08    0.000E+00
    12.850     0.000    0.702E-08    0.202E-09
    13.500     0.000    0.810E-08    0.000E+00
    14.160     0.000    0.864E-08    0.000E+00
    14.750     0.000    0.917E-08    0.000E+00
    15.350     0.000    0.842E-08    0.170E-09
    15.970     0.000    0.793E-08    0.000E+00
    16.600     0.000    0.747E-08    0.000E+00
    17.220     0.000    0.745E-08    0.000E+00
    17.650     0.000    0.732E-08    0.147E-09
    18.420     0.000    0.697E-08    0.000E+00
    19.060     0.000    0.651E-08    0.000E+00
    19.700     0.000    0.608E-08    0.000E+00
    20.320     0.000    0.512E-08    0.128E-09
    20.960     0.000    0.484E-08    0.000E+00
    21.580     0.000    0.410E-08    0.000E+00
    22.190     0.000    0.384E-08    0.000E+00
    22.810     0.000    0.351E-08    0.171E-09
    23.480     0.000    0.344E-08    0.000E+00
    24.020     0.000    0.297E-08    0.000E+00
    24.650     0.000    0.215E-08    0.000E+00
    25.280     0.000    0.200E-08    0.274E-09
    25.920     0.000    0.185E-08    0.000E+00
    26.550     0.000    0.147E-08    0.000E+00
    27.130     0.000    0.176E-08    0.000E+00
