# fe1_exp_004_009_photoabs_1975Ahr.dat                   
#
# Z =  4, A =  9
# No. of entries:   37
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J.Ahrens, H.Borchert, K.H.Czock at. el; Nucl. Phys. A251, 479(1975).                                                                        
#    E         dE       f1           df1
    10.500     0.000    0.546E-08    0.353E-08
    11.000     0.000    0.844E-08    0.259E-08
    11.500     0.000    0.845E-08    0.249E-08
    12.000     0.000    0.369E-08    0.195E-08
    12.500     0.000    0.529E-08    0.176E-08
    13.000     0.000    0.493E-08    0.167E-08
    13.500     0.000    0.578E-08    0.161E-08
    14.000     0.000    0.535E-08    0.140E-08
    14.500     0.000    0.885E-08    0.128E-08
    15.000     0.000    0.471E-08    0.116E-08
    15.500     0.000    0.504E-08    0.109E-08
    16.000     0.000    0.195E-08    0.997E-09
    16.500     0.000    0.454E-08    0.915E-09
    17.000     0.000    0.258E-08    0.908E-09
    17.500     0.000    0.430E-08    0.813E-09
    18.000     0.000    0.747E-08    0.785E-09
    18.500     0.000    0.760E-08    0.816E-09
    19.000     0.000    0.126E-07    0.698E-09
    19.500     0.000    0.109E-07    0.890E-09
    20.000     0.000    0.134E-07    0.781E-09
    20.500     0.000    0.161E-07    0.846E-09
    21.000     0.000    0.185E-07    0.801E-09
    21.500     0.000    0.202E-07    0.738E-09
    22.000     0.000    0.213E-07    0.852E-09
    22.500     0.000    0.200E-07    0.686E-09
    23.000     0.000    0.196E-07    0.581E-09
    23.500     0.000    0.186E-07    0.657E-09
    24.000     0.000    0.188E-07    0.361E-09
    24.500     0.000    0.180E-07    0.450E-09
    25.000     0.000    0.176E-07    0.493E-09
    25.500     0.000    0.171E-07    0.418E-09
    26.000     0.000    0.166E-07    0.440E-09
    26.500     0.000    0.166E-07    0.363E-09
    27.000     0.000    0.167E-07    0.427E-09
    27.500     0.000    0.161E-07    0.315E-09
    28.000     0.000    0.153E-07    0.266E-09
    28.500     0.000    0.150E-07    0.463E-09
