# fe1_exp_004_009_photoneut_2001Uts.dat                  
#
# Z =  4, A =  9
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (H.Utsunomiya, Y.Yonezawa, H.Akimune, T.Yamagata,      (J,PR/C,63,(1),018801,200101)                                                                
#    E         dE       f1           df1
     2.110     0.000    0.411E-09    0.288E-08
     2.200     0.000    0.394E-09    0.276E-08
     2.250     0.000    0.385E-09    0.347E-08
     2.280     0.000    0.761E-09    0.304E-08
     2.300     0.000    0.377E-09    0.264E-08
     2.330     0.000    0.372E-09    0.298E-08
     2.380     0.000    0.729E-09    0.292E-08
     2.390     0.000    0.363E-09    0.327E-08
     2.420     0.000    0.717E-09    0.251E-08
     2.430     0.000    0.357E-09    0.178E-08
     2.440     0.000    0.711E-09    0.355E-08
     2.460     0.000    0.353E-09    0.282E-08
     2.480     0.000    0.350E-09    0.385E-08
     2.480     0.000    0.350E-09    0.245E-08
     2.510     0.000    0.691E-09    0.276E-08
     2.510     0.000    0.691E-09    0.415E-08
     2.550     0.000    0.340E-09    0.306E-08
     2.590     0.000    0.335E-09    0.368E-08
     2.590     0.000    0.335E-09    0.268E-08
     2.640     0.000    0.657E-09    0.197E-08
     2.690     0.000    0.645E-09    0.226E-08
     2.730     0.000    0.635E-09    0.254E-08
     2.740     0.000    0.633E-09    0.253E-08
     2.790     0.000    0.311E-09    0.249E-08
     2.840     0.000    0.916E-09    0.275E-08
     2.880     0.000    0.602E-09    0.211E-08
     2.940     0.000    0.590E-09    0.266E-08
     2.980     0.000    0.582E-09    0.204E-08
     3.050     0.000    0.284E-09    0.256E-08
     3.080     0.000    0.563E-09    0.253E-08
     3.140     0.000    0.829E-09    0.221E-08
     3.190     0.000    0.544E-09    0.381E-08
     3.280     0.000    0.529E-09    0.317E-08
     3.300     0.000    0.263E-09    0.315E-08
     3.390     0.000    0.512E-09    0.281E-08
     3.480     0.000    0.498E-09    0.249E-08
     3.580     0.000    0.727E-09    0.170E-08
     3.580     0.000    0.485E-09    0.170E-08
     3.750     0.000    0.925E-09    0.208E-08
     3.870     0.000    0.448E-09    0.224E-08
     4.010     0.000    0.433E-09    0.303E-08
     4.070     0.000    0.426E-09    0.298E-08
     4.190     0.000    0.414E-09    0.228E-08
     4.330     0.000    0.401E-09    0.280E-08
     4.370     0.000    0.397E-09    0.258E-08
     4.490     0.000    0.386E-09    0.270E-08
     4.560     0.000    0.380E-09    0.285E-08
     4.560     0.000    0.380E-09    0.247E-08
     4.700     0.000    0.369E-09    0.240E-08
     4.910     0.000    0.353E-09    0.265E-08
     5.090     0.000    0.511E-09    0.256E-08
     5.200     0.000    0.500E-09    0.334E-08
     5.290     0.000    0.328E-09    0.312E-08
     5.420     0.000    0.320E-09    0.272E-08
     5.570     0.000    0.311E-09    0.202E-08
     5.710     0.000    0.304E-09    0.228E-08
     5.830     0.000    0.595E-09    0.208E-08
     5.950     0.000    0.292E-09    0.190E-08
     6.110     0.000    0.284E-09    0.213E-08
