# fe1_exp_005_010_photoneut_1987Ahs.dat                  
#
# Z =  5, A = 10
# No. of entries:  113
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1987Ahs  M.H.Ahsan, S.A.Siddiqui, H.H.Thies; Nucl.Phys. A469, 381 (1987).                                                                            
#    E         dE       f1           df1
     8.592     0.000    0.555E-09    0.000E+00
     8.878     0.000    0.108E-08    0.000E+00
     9.069     0.000    0.159E-08    0.000E+00
     9.356     0.000    0.206E-08    0.000E+00
     9.604     0.000    0.262E-08    0.000E+00
     9.871     0.000    0.328E-08    0.000E+00
    10.080     0.000    0.393E-08    0.000E+00
    10.200     0.000    0.412E-08    0.000E+00
    10.350     0.000    0.464E-08    0.000E+00
    10.520     0.000    0.513E-08    0.000E+00
    10.650     0.000    0.575E-08    0.000E+00
    10.790     0.000    0.589E-08    0.000E+00
    10.920     0.000    0.627E-08    0.000E+00
    11.070     0.000    0.608E-08    0.000E+00
    11.190     0.000    0.677E-08    0.000E+00
    11.300     0.000    0.712E-08    0.000E+00
    11.420     0.000    0.757E-08    0.000E+00
    11.570     0.000    0.840E-08    0.000E+00
    11.820     0.000    0.903E-08    0.000E+00
    12.030     0.000    0.872E-08    0.000E+00
    12.160     0.000    0.927E-08    0.000E+00
    12.240     0.000    0.893E-08    0.000E+00
    12.390     0.000    0.980E-08    0.000E+00
    12.510     0.000    0.991E-08    0.000E+00
    12.620     0.000    0.103E-07    0.000E+00
    12.750     0.000    0.103E-07    0.000E+00
    12.850     0.000    0.102E-07    0.000E+00
    12.950     0.000    0.104E-07    0.000E+00
    13.190     0.000    0.107E-07    0.000E+00
    13.370     0.000    0.109E-07    0.000E+00
    13.480     0.000    0.109E-07    0.000E+00
    13.590     0.000    0.112E-07    0.000E+00
    13.710     0.000    0.115E-07    0.000E+00
    13.920     0.000    0.120E-07    0.000E+00
    14.050     0.000    0.119E-07    0.000E+00
    14.170     0.000    0.121E-07    0.000E+00
    14.340     0.000    0.122E-07    0.000E+00
    14.490     0.000    0.121E-07    0.000E+00
    14.720     0.000    0.119E-07    0.000E+00
    14.930     0.000    0.129E-07    0.000E+00
    15.120     0.000    0.128E-07    0.000E+00
    15.260     0.000    0.130E-07    0.000E+00
    15.350     0.000    0.118E-07    0.000E+00
    15.480     0.000    0.123E-07    0.000E+00
    15.540     0.000    0.124E-07    0.000E+00
    15.680     0.000    0.123E-07    0.000E+00
    15.850     0.000    0.128E-07    0.000E+00
    15.980     0.000    0.128E-07    0.000E+00
    16.110     0.000    0.124E-07    0.000E+00
    16.270     0.000    0.123E-07    0.000E+00
    16.340     0.000    0.119E-07    0.000E+00
    16.420     0.000    0.114E-07    0.000E+00
    16.610     0.000    0.122E-07    0.000E+00
    16.840     0.000    0.119E-07    0.000E+00
    17.070     0.000    0.122E-07    0.000E+00
    17.370     0.000    0.132E-07    0.000E+00
    17.550     0.000    0.129E-07    0.000E+00
    17.570     0.000    0.128E-07    0.000E+00
    17.640     0.000    0.125E-07    0.000E+00
    17.790     0.000    0.121E-07    0.000E+00
    17.950     0.000    0.119E-07    0.000E+00
    18.180     0.000    0.123E-07    0.000E+00
    18.390     0.000    0.117E-07    0.000E+00
    18.580     0.000    0.119E-07    0.000E+00
    18.730     0.000    0.122E-07    0.000E+00
    18.940     0.000    0.130E-07    0.000E+00
    19.250     0.000    0.144E-07    0.000E+00
    19.590     0.000    0.155E-07    0.000E+00
    19.820     0.000    0.162E-07    0.000E+00
    19.990     0.000    0.170E-07    0.000E+00
    20.300     0.000    0.182E-07    0.000E+00
    20.390     0.000    0.185E-07    0.000E+00
    20.530     0.000    0.188E-07    0.000E+00
    20.740     0.000    0.195E-07    0.000E+00
    20.950     0.000    0.200E-07    0.000E+00
    20.950     0.000    0.200E-07    0.000E+00
    21.210     0.000    0.205E-07    0.000E+00
    21.500     0.000    0.188E-07    0.000E+00
    21.590     0.000    0.180E-07    0.000E+00
    21.710     0.000    0.168E-07    0.000E+00
    21.750     0.000    0.159E-07    0.000E+00
    21.880     0.000    0.151E-07    0.000E+00
    22.090     0.000    0.165E-07    0.000E+00
    22.110     0.000    0.146E-07    0.000E+00
    22.340     0.000    0.167E-07    0.000E+00
    22.400     0.000    0.160E-07    0.000E+00
    22.430     0.000    0.157E-07    0.000E+00
    22.530     0.000    0.157E-07    0.000E+00
    22.640     0.000    0.156E-07    0.000E+00
    22.800     0.000    0.177E-07    0.000E+00
    22.950     0.000    0.174E-07    0.000E+00
    23.100     0.000    0.197E-07    0.000E+00
    23.260     0.000    0.195E-07    0.000E+00
    23.370     0.000    0.201E-07    0.000E+00
    23.480     0.000    0.200E-07    0.000E+00
    23.680     0.000    0.211E-07    0.000E+00
    23.810     0.000    0.216E-07    0.000E+00
    23.890     0.000    0.206E-07    0.000E+00
    24.000     0.000    0.209E-07    0.000E+00
    24.080     0.000    0.199E-07    0.000E+00
    24.170     0.000    0.176E-07    0.000E+00
    24.210     0.000    0.206E-07    0.000E+00
    24.320     0.000    0.163E-07    0.000E+00
    24.380     0.000    0.192E-07    0.000E+00
    24.530     0.000    0.178E-07    0.000E+00
