# fe1_exp_006_012_photoabs_1969Bez.dat                   
#
# Z =  6, A = 12
# No. of entries:   48
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Bez  N. Bezic, D. Brajnik, D. Jamnik, G. Kernel; Nucl. Phys. A128, 426(1969).                                                                    
#    E         dE       f1           df1
    18.800     0.000    0.618E-08    0.428E-08
    19.000     0.000    0.749E-08    0.306E-08
    19.200     0.000    0.140E-07    0.279E-08
    19.300     0.000    0.692E-08    0.301E-08
    19.500     0.000    0.153E-07    0.275E-08
    19.600     0.000    0.589E-08    0.500E-08
    19.800     0.000    0.968E-08    0.248E-08
    20.100     0.000    0.928E-08    0.289E-08
    20.200     0.000    0.192E-07    0.221E-08
    20.300     0.000    0.165E-07    0.330E-08
    20.500     0.000    0.285E-07    0.283E-08
    20.700     0.000    0.278E-07    0.302E-08
    20.900     0.000    0.348E-07    0.193E-08
    21.100     0.000    0.419E-07    0.402E-08
    21.200     0.000    0.479E-07    0.253E-08
    21.300     0.000    0.562E-07    0.294E-08
    21.400     0.000    0.584E-07    0.230E-08
    21.500     0.000    0.589E-07    0.270E-08
    21.700     0.000    0.644E-07    0.288E-08
    22.000     0.000    0.745E-07    0.224E-08
    22.200     0.000    0.809E-07    0.262E-08
    22.300     0.000    0.817E-07    0.221E-08
    22.400     0.000    0.759E-07    0.220E-08
    22.600     0.000    0.794E-07    0.257E-08
    22.600     0.000    0.810E-07    0.237E-08
    22.900     0.000    0.788E-07    0.175E-08
    23.100     0.000    0.773E-07    0.252E-08
    23.300     0.000    0.711E-07    0.268E-08
    23.400     0.000    0.712E-07    0.210E-08
    23.500     0.000    0.709E-07    0.190E-08
    23.700     0.000    0.644E-07    0.188E-08
    24.000     0.000    0.593E-07    0.167E-08
    24.200     0.000    0.502E-07    0.258E-08
    24.500     0.000    0.471E-07    0.219E-08
    24.500     0.000    0.404E-07    0.400E-08
    24.700     0.000    0.428E-07    0.217E-08
    25.000     0.000    0.423E-07    0.197E-08
    25.200     0.000    0.437E-07    0.159E-08
    25.400     0.000    0.410E-07    0.317E-08
    25.600     0.000    0.427E-07    0.244E-08
    25.800     0.000    0.414E-07    0.225E-08
    25.900     0.000    0.399E-07    0.138E-08
    26.200     0.000    0.361E-07    0.154E-08
    26.500     0.000    0.350E-07    0.185E-08
    26.600     0.000    0.296E-07    0.202E-08
    26.900     0.000    0.293E-07    0.149E-08
    27.200     0.000    0.338E-07    0.246E-08
    27.500     0.000    0.268E-07    0.146E-08
