# fe1_exp_006_012_photoabs_1975Ahr.dat                   
#
# Z =  6, A = 12
# No. of entries:   58
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J. Ahrens, H. Borchert, K. H. Czock, et al.,; Nucl. Phys. A251, 479(1975).                                                                  
#    E         dE       f1           df1
    18.750     0.000    0.132E-07    0.278E-08
    18.900     0.000    0.918E-08    0.275E-08
    19.000     0.000    0.977E-08    0.274E-08
    19.200     0.000    0.998E-08    0.271E-08
    19.300     0.000    0.129E-07    0.270E-08
    19.400     0.000    0.153E-07    0.268E-08
    19.550     0.000    0.634E-08    0.266E-08
    19.750     0.000    0.110E-07    0.264E-08
    19.850     0.000    0.115E-07    0.262E-08
    20.000     0.000    0.143E-07    0.260E-08
    20.200     0.000    0.153E-07    0.258E-08
    20.300     0.000    0.183E-07    0.256E-08
    20.500     0.000    0.233E-07    0.254E-08
    20.650     0.000    0.240E-07    0.252E-08
    20.700     0.000    0.278E-07    0.251E-08
    20.850     0.000    0.291E-07    0.250E-08
    21.000     0.000    0.339E-07    0.248E-08
    21.150     0.000    0.366E-07    0.246E-08
    21.300     0.000    0.452E-07    0.244E-08
    21.400     0.000    0.478E-07    0.243E-08
    21.550     0.000    0.507E-07    0.241E-08
    21.750     0.000    0.654E-07    0.239E-08
    21.950     0.000    0.692E-07    0.237E-08
    22.000     0.000    0.682E-07    0.237E-08
    22.150     0.000    0.736E-07    0.235E-08
    22.350     0.000    0.695E-07    0.233E-08
    22.450     0.000    0.757E-07    0.232E-08
    22.700     0.000    0.818E-07    0.267E-08
    22.900     0.000    0.773E-07    0.265E-08
    23.100     0.000    0.792E-07    0.263E-08
    23.200     0.000    0.748E-07    0.262E-08
    23.350     0.000    0.680E-07    0.260E-08
    23.500     0.000    0.690E-07    0.258E-08
    23.600     0.000    0.691E-07    0.257E-08
    23.850     0.000    0.651E-07    0.255E-08
    23.950     0.000    0.612E-07    0.254E-08
    24.200     0.000    0.538E-07    0.251E-08
    24.250     0.000    0.533E-07    0.250E-08
    24.350     0.000    0.431E-07    0.249E-08
    24.650     0.000    0.486E-07    0.246E-08
    24.700     0.000    0.400E-07    0.246E-08
    24.950     0.000    0.379E-07    0.243E-08
    25.000     0.000    0.409E-07    0.243E-08
    25.250     0.000    0.392E-07    0.240E-08
    25.400     0.000    0.403E-07    0.239E-08
    25.500     0.000    0.429E-07    0.238E-08
    25.600     0.000    0.427E-07    0.237E-08
    25.800     0.000    0.424E-07    0.235E-08
    26.000     0.000    0.380E-07    0.234E-08
    26.100     0.000    0.379E-07    0.233E-08
    26.250     0.000    0.350E-07    0.231E-08
    26.400     0.000    0.348E-07    0.230E-08
    26.600     0.000    0.319E-07    0.228E-08
    26.750     0.000    0.290E-07    0.227E-08
    26.850     0.000    0.314E-07    0.226E-08
    26.950     0.000    0.260E-07    0.225E-08
    27.100     0.000    0.310E-07    0.224E-08
    27.450     0.000    0.305E-07    0.221E-08
