# fe1_exp_006_013_photoneutr_2002Ish.dat                 
#
# Z =  6, A = 13
# No. of entries:   46
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(2002).                 
#    E         dE       f1           df1
     7.500     0.000    0.463E-08    0.000E+00
     8.000     0.000    0.108E-07    0.000E+00
     8.500     0.000    0.408E-08    0.000E+00
     9.000     0.000    0.578E-08    0.000E+00
     9.500     0.000    0.639E-08    0.000E+00
    10.000     0.000    0.104E-07    0.000E+00
    10.500     0.000    0.116E-07    0.000E+00
    11.000     0.000    0.189E-07    0.000E+00
    11.500     0.000    0.151E-07    0.000E+00
    12.000     0.000    0.210E-07    0.000E+00
    12.500     0.000    0.208E-07    0.000E+00
    13.000     0.000    0.220E-07    0.000E+00
    13.500     0.000    0.257E-07    0.000E+00
    14.000     0.000    0.223E-07    0.000E+00
    14.500     0.000    0.144E-07    0.000E+00
    15.000     0.000    0.249E-07    0.000E+00
    15.500     0.000    0.145E-07    0.000E+00
    16.000     0.000    0.125E-07    0.000E+00
    16.500     0.000    0.158E-07    0.000E+00
    17.000     0.000    0.122E-07    0.000E+00
    17.500     0.000    0.114E-07    0.000E+00
    18.000     0.000    0.111E-07    0.000E+00
    18.500     0.000    0.169E-07    0.000E+00
    19.000     0.000    0.137E-07    0.000E+00
    19.500     0.000    0.205E-07    0.000E+00
    20.000     0.000    0.256E-07    0.000E+00
    20.500     0.000    0.398E-07    0.000E+00
    21.000     0.000    0.376E-07    0.000E+00
    21.500     0.000    0.254E-07    0.000E+00
    22.000     0.000    0.308E-07    0.000E+00
    22.500     0.000    0.432E-07    0.000E+00
    23.000     0.000    0.554E-07    0.000E+00
    23.500     0.000    0.613E-07    0.000E+00
    24.000     0.000    0.582E-07    0.000E+00
    24.500     0.000    0.591E-07    0.000E+00
    25.000     0.000    0.475E-07    0.000E+00
    25.500     0.000    0.391E-07    0.000E+00
    26.000     0.000    0.384E-07    0.000E+00
    26.500     0.000    0.324E-07    0.000E+00
    27.000     0.000    0.286E-07    0.000E+00
    27.500     0.000    0.290E-07    0.000E+00
    28.000     0.000    0.285E-07    0.000E+00
    28.500     0.000    0.228E-07    0.000E+00
    29.000     0.000    0.224E-07    0.000E+00
    29.500     0.000    0.206E-07    0.000E+00
    30.000     0.000    0.202E-07    0.000E+00
