# fe1_exp_006_nat_photoabs_1965Wyc.dat                   
#
# Z =  6, A =  0
# No. of entries:   18
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1965Wyc  J.M.Wyckoff, B.Ziegler, H.W.Koch, R.Uhlig; Phys. Rev. B137, 576(1965).                                                                      
#    E         dE       f1           df1
    19.100     0.000    0.976E-08    0.000E+00
    19.600     0.000    0.974E-08    0.000E+00
    20.100     0.000    0.583E-08    0.000E+00
    20.600     0.000    0.149E-07    0.000E+00
    21.000     0.000    0.228E-07    0.000E+00
    21.500     0.000    0.428E-07    0.000E+00
    22.100     0.000    0.640E-07    0.000E+00
    22.500     0.000    0.744E-07    0.000E+00
    23.000     0.000    0.720E-07    0.000E+00
    23.600     0.000    0.720E-07    0.000E+00
    24.000     0.000    0.492E-07    0.000E+00
    24.600     0.000    0.430E-07    0.000E+00
    25.000     0.000    0.406E-07    0.000E+00
    25.500     0.000    0.391E-07    0.000E+00
    26.000     0.000    0.350E-07    0.000E+00
    26.500     0.000    0.285E-07    0.000E+00
    27.000     0.000    0.261E-07    0.000E+00
    27.500     0.000    0.215E-07    0.000E+00
