# fe1_exp_006_nat_photoabs_1972Ahr.dat                   
#
# Z =  6, A =  0
# No. of entries:   44
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972Ahr  J.Ahrens, H.Borchert, H.B.Eppler, H.Gimm, H.Gundrum; Conf.Nucl.Structure Studies, Sendai, Japan,  213, (1972).                              
#    E         dE       f1           df1
    18.900     0.000    0.688E-08    0.233E-08
    19.100     0.000    0.708E-08    0.256E-08
    19.300     0.000    0.103E-07    0.253E-08
    19.500     0.000    0.592E-08    0.201E-08
    19.700     0.000    0.735E-08    0.199E-08
    19.900     0.000    0.139E-07    0.221E-08
    20.100     0.000    0.116E-07    0.195E-08
    20.400     0.000    0.188E-07    0.192E-08
    20.500     0.000    0.223E-07    0.191E-08
    20.700     0.000    0.247E-07    0.260E-08
    20.900     0.000    0.293E-07    0.211E-08
    21.100     0.000    0.351E-07    0.278E-08
    21.400     0.000    0.417E-07    0.252E-08
    21.500     0.000    0.492E-07    0.228E-08
    21.700     0.000    0.600E-07    0.225E-08
    21.800     0.000    0.680E-07    0.224E-08
    22.100     0.000    0.671E-07    0.221E-08
    22.300     0.000    0.708E-07    0.219E-08
    22.400     0.000    0.732E-07    0.175E-08
    22.700     0.000    0.760E-07    0.216E-08
    22.900     0.000    0.746E-07    0.192E-08
    23.000     0.000    0.732E-07    0.234E-08
    23.300     0.000    0.707E-07    0.231E-08
    23.400     0.000    0.660E-07    0.209E-08
    23.600     0.000    0.665E-07    0.186E-08
    23.900     0.000    0.602E-07    0.164E-08
    24.000     0.000    0.524E-07    0.163E-08
    24.300     0.000    0.464E-07    0.181E-08
    24.400     0.000    0.434E-07    0.180E-08
    24.600     0.000    0.413E-07    0.159E-08
    24.900     0.000    0.387E-07    0.118E-08
    25.000     0.000    0.399E-07    0.176E-08
    25.300     0.000    0.401E-07    0.174E-08
    25.500     0.000    0.432E-07    0.153E-08
    25.700     0.000    0.415E-07    0.133E-08
    25.800     0.000    0.383E-07    0.132E-08
    26.100     0.000    0.359E-07    0.112E-08
    26.300     0.000    0.356E-07    0.149E-08
    26.400     0.000    0.316E-07    0.129E-08
    26.700     0.000    0.290E-07    0.147E-08
    26.900     0.000    0.257E-07    0.163E-08
    27.100     0.000    0.272E-07    0.126E-08
    27.300     0.000    0.254E-07    0.125E-08
    27.500     0.000    0.273E-07    0.160E-08
