# fe1_exp_006_nat_photoabs_1975Ahr.dat                   
#
# Z =  6, A =  0
# No. of entries:   58
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J.Ahrens, H.Borchert, K.H.Czock, et al.,; Nucl. Phys. A251, 479(1975).                                                                      
#    E         dE       f1           df1
    18.820     0.000    0.742E-08    0.184E-08
    18.910     0.000    0.130E-07    0.252E-08
    19.090     0.000    0.763E-08    0.164E-08
    19.260     0.000    0.775E-08    0.180E-08
    19.340     0.000    0.789E-08    0.170E-08
    19.510     0.000    0.129E-07    0.239E-08
    19.690     0.000    0.144E-07    0.162E-08
    19.860     0.000    0.633E-08    0.157E-08
    19.940     0.000    0.111E-07    0.166E-08
    20.110     0.000    0.157E-07    0.237E-08
    20.290     0.000    0.163E-07    0.156E-08
    20.370     0.000    0.193E-07    0.128E-08
    20.540     0.000    0.223E-07    0.261E-08
    20.710     0.000    0.236E-07    0.144E-08
    20.890     0.000    0.287E-07    0.137E-08
    21.060     0.000    0.292E-07    0.124E-08
    21.230     0.000    0.342E-07    0.180E-08
    21.360     0.000    0.369E-07    0.179E-08
    21.570     0.000    0.454E-07    0.177E-08
    21.660     0.000    0.481E-07    0.188E-08
    21.830     0.000    0.513E-07    0.217E-08
    21.910     0.000    0.641E-07    0.115E-08
    22.050     0.000    0.688E-07    0.197E-08
    22.260     0.000    0.674E-07    0.180E-08
    22.430     0.000    0.731E-07    0.170E-08
    22.560     0.000    0.692E-07    0.280E-08
    22.770     0.000    0.754E-07    0.137E-08
    22.860     0.000    0.812E-07    0.152E-08
    22.940     0.000    0.783E-07    0.208E-08
    23.200     0.000    0.755E-07    0.116E-08
    23.290     0.000    0.797E-07    0.201E-08
    23.460     0.000    0.754E-07    0.148E-08
    23.630     0.000    0.683E-07    0.154E-08
    23.710     0.000    0.691E-07    0.139E-08
    23.900     0.000    0.686E-07    0.120E-08
    24.060     0.000    0.656E-07    0.144E-08
    24.230     0.000    0.605E-07    0.111E-08
    24.310     0.000    0.521E-07    0.963E-09
    24.490     0.000    0.453E-07    0.161E-08
    24.660     0.000    0.440E-07    0.102E-08
    24.920     0.000    0.470E-07    0.950E-09
    25.040     0.000    0.402E-07    0.132E-08
    25.260     0.000    0.388E-07    0.137E-08
    25.390     0.000    0.410E-07    0.124E-08
    25.510     0.000    0.394E-07    0.612E-09
    25.690     0.000    0.412E-07    0.186E-08
    25.860     0.000    0.423E-07    0.738E-09
    26.000     0.000    0.427E-07    0.100E-08
    26.200     0.000    0.427E-07    0.108E-08
    26.300     0.000    0.389E-07    0.109E-08
    26.460     0.000    0.393E-07    0.155E-08
    26.540     0.000    0.350E-07    0.144E-08
    26.710     0.000    0.347E-07    0.117E-08
    26.890     0.000    0.329E-07    0.116E-08
    27.060     0.000    0.297E-07    0.115E-08
    27.150     0.000    0.319E-07    0.128E-08
    27.310     0.000    0.260E-07    0.127E-08
    27.490     0.000    0.284E-07    0.978E-09
