# fe1_exp_008_016_photoabs_1965Wyc.dat                   
#
# Z =  8, A = 16
# No. of entries:   29
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1965Wyc  J.M.Wyckoff, B.Ziegler, H.W.Koch, R.Uhlig; Phys. Rev. B137, 576(1965).                                                                      
#    E         dE       f1           df1
    16.100     0.000    0.349E-08    0.000E+00
    16.600     0.000    0.763E-08    0.000E+00
    17.100     0.000    0.111E-07    0.000E+00
    17.600     0.000    0.176E-07    0.000E+00
    18.200     0.000    0.605E-08    0.000E+00
    18.600     0.000    0.839E-08    0.000E+00
    19.200     0.000    0.170E-07    0.000E+00
    19.700     0.000    0.625E-08    0.000E+00
    20.100     0.000    0.101E-07    0.000E+00
    20.600     0.000    0.169E-07    0.000E+00
    21.100     0.000    0.285E-07    0.000E+00
    21.600     0.000    0.510E-07    0.000E+00
    22.200     0.000    0.934E-07    0.000E+00
    22.600     0.000    0.921E-07    0.000E+00
    23.100     0.000    0.826E-07    0.000E+00
    23.600     0.000    0.779E-07    0.000E+00
    24.100     0.000    0.777E-07    0.000E+00
    24.600     0.000    0.762E-07    0.000E+00
    25.100     0.000    0.615E-07    0.000E+00
    25.600     0.000    0.640E-07    0.000E+00
    26.100     0.000    0.518E-07    0.000E+00
    26.600     0.000    0.408E-07    0.000E+00
    27.100     0.000    0.390E-07    0.000E+00
    27.600     0.000    0.275E-07    0.000E+00
    28.000     0.000    0.235E-07    0.000E+00
    28.600     0.000    0.232E-07    0.000E+00
    29.100     0.000    0.214E-07    0.000E+00
    29.600     0.000    0.216E-07    0.000E+00
    30.100     0.000    0.169E-07    0.000E+00
