# fe1_exp_008_016_photoabs_1969Bez.dat                   
#
# Z =  8, A = 16
# No. of entries:   65
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Bez  N.Bezic, D.Brajnik, D.Jamnik, G.Kernel; Nucl. Phys. A128, 426(1969).                                                                        
#    E         dE       f1           df1
    15.900     0.000    0.214E-08    0.867E-08
    16.200     0.000    0.178E-07    0.991E-08
    16.400     0.000    0.152E-08    0.624E-08
    16.900     0.000    0.831E-08    0.554E-08
    17.100     0.000    0.273E-07    0.964E-08
    17.800     0.000    0.112E-08    0.526E-08
    18.500     0.000    0.110E-07    0.459E-08
    18.600     0.000    0.162E-07    0.793E-08
    18.900     0.000    0.100E-07    0.707E-08
    19.100     0.000    0.190E-07    0.772E-08
    19.300     0.000    0.202E-07    0.508E-08
    19.800     0.000    0.188E-07    0.451E-08
    20.200     0.000    0.217E-07    0.661E-08
    20.400     0.000    0.318E-07    0.523E-08
    20.700     0.000    0.367E-07    0.624E-08
    20.900     0.000    0.548E-07    0.406E-08
    21.100     0.000    0.571E-07    0.719E-08
    21.300     0.000    0.603E-07    0.357E-08
    21.600     0.000    0.795E-07    0.434E-08
    21.900     0.000    0.998E-07    0.388E-08
    22.000     0.000    0.118E-06    0.505E-08
    22.200     0.000    0.116E-06    0.664E-08
    22.300     0.000    0.112E-06    0.401E-08
    22.400     0.000    0.108E-06    0.399E-08
    22.600     0.000    0.103E-06    0.297E-08
    22.800     0.000    0.966E-07    0.108E-07
    22.900     0.000    0.958E-07    0.371E-08
    23.200     0.000    0.849E-07    0.404E-08
    23.300     0.000    0.864E-07    0.249E-08
    23.400     0.000    0.904E-07    0.325E-08
    23.700     0.000    0.728E-07    0.490E-08
    23.800     0.000    0.882E-07    0.466E-08
    23.900     0.000    0.940E-07    0.729E-08
    24.000     0.000    0.983E-07    0.354E-08
    24.300     0.000    0.109E-06    0.607E-08
    24.300     0.000    0.860E-07    0.368E-08
    24.600     0.000    0.730E-07    0.363E-08
    24.800     0.000    0.769E-07    0.342E-08
    25.000     0.000    0.777E-07    0.286E-08
    25.100     0.000    0.757E-07    0.695E-08
    25.300     0.000    0.679E-07    0.528E-08
    25.500     0.000    0.646E-07    0.524E-08
    25.700     0.000    0.628E-07    0.553E-08
    25.800     0.000    0.588E-07    0.295E-08
    26.000     0.000    0.560E-07    0.275E-08
    26.100     0.000    0.595E-07    0.768E-08
    26.400     0.000    0.460E-07    0.421E-08
    26.600     0.000    0.408E-07    0.352E-08
    26.700     0.000    0.323E-07    0.585E-08
    26.900     0.000    0.448E-07    0.413E-08
    27.100     0.000    0.362E-07    0.362E-08
    27.200     0.000    0.251E-07    0.344E-08
    27.400     0.000    0.339E-07    0.405E-08
    27.600     0.000    0.339E-07    0.387E-08
    27.900     0.000    0.286E-07    0.320E-08
    28.200     0.000    0.260E-07    0.412E-08
    28.300     0.000    0.316E-07    0.411E-08
    28.600     0.000    0.274E-07    0.297E-08
    29.000     0.000    0.214E-07    0.323E-08
    29.200     0.000    0.292E-07    0.413E-08
    29.500     0.000    0.260E-07    0.529E-08
    29.600     0.000    0.399E-07    0.360E-08
    29.900     0.000    0.218E-07    0.357E-08
    30.200     0.000    0.220E-07    0.385E-08
    30.500     0.000    0.175E-07    0.572E-08
