# fe1_exp_008_017_photoabs_2002Ish.dat                   
#
# Z =  8, A = 17
# No. of entries:   49
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(2002).                 
#    E         dE       f1           df1
     5.000     0.000    0.694E-08    0.000E+00
     5.500     0.000    0.946E-08    0.000E+00
     6.000     0.000    0.578E-08    0.000E+00
     6.500     0.000    0.801E-08    0.000E+00
     7.000     0.000    0.136E-07    0.000E+00
     7.500     0.000    0.694E-08    0.000E+00
     8.000     0.000    0.867E-08    0.000E+00
     8.700     0.000    0.150E-07    0.000E+00
     9.000     0.000    0.867E-08    0.000E+00
     9.500     0.000    0.822E-08    0.000E+00
    10.000     0.000    0.130E-07    0.000E+00
    10.500     0.000    0.909E-08    0.000E+00
    11.000     0.000    0.134E-07    0.000E+00
    11.500     0.000    0.166E-07    0.000E+00
    12.000     0.000    0.152E-07    0.000E+00
    12.500     0.000    0.194E-07    0.000E+00
    13.000     0.000    0.214E-07    0.000E+00
    13.500     0.000    0.206E-07    0.000E+00
    14.000     0.000    0.161E-07    0.000E+00
    14.500     0.000    0.144E-07    0.000E+00
    15.000     0.000    0.272E-07    0.000E+00
    15.500     0.000    0.157E-07    0.000E+00
    16.000     0.000    0.103E-07    0.000E+00
    16.500     0.000    0.116E-07    0.000E+00
    17.000     0.000    0.112E-07    0.000E+00
    17.500     0.000    0.139E-07    0.000E+00
    18.000     0.000    0.188E-07    0.000E+00
    18.500     0.000    0.211E-07    0.000E+00
    19.000     0.000    0.256E-07    0.000E+00
    19.500     0.000    0.307E-07    0.000E+00
    20.000     0.000    0.347E-07    0.000E+00
    20.300     0.000    0.440E-07    0.000E+00
    20.800     0.000    0.396E-07    0.000E+00
    21.500     0.000    0.573E-07    0.000E+00
    22.000     0.000    0.796E-07    0.000E+00
    22.500     0.000    0.864E-07    0.000E+00
    23.000     0.000    0.901E-07    0.000E+00
    23.500     0.000    0.827E-07    0.000E+00
    24.000     0.000    0.701E-07    0.000E+00
    24.500     0.000    0.655E-07    0.000E+00
    25.000     0.000    0.559E-07    0.000E+00
    25.500     0.000    0.476E-07    0.000E+00
    26.000     0.000    0.430E-07    0.000E+00
    26.500     0.000    0.429E-07    0.000E+00
    27.000     0.000    0.353E-07    0.000E+00
    27.500     0.000    0.347E-07    0.000E+00
    28.000     0.000    0.307E-07    0.000E+00
    28.500     0.000    0.274E-07    0.000E+00
    29.000     0.000    0.251E-07    0.000E+00
