# fe1_exp_008_nat_photoabs_1985Ahr.dat                   
#
# Z =  8, A =  0
# No. of entries:   23
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1985Ahr  J.Ahrens; Nucl.Phys. A446, 229c(1985).                                                                                                      
#    E         dE       f1           df1
    15.860     0.000    0.172E-07    0.514E-08
    16.270     0.000    0.184E-07    0.399E-08
    16.780     0.000    0.225E-07    0.359E-08
    17.300     0.000    0.308E-07    0.332E-08
    17.870     0.000    0.152E-07    0.299E-08
    18.410     0.000    0.104E-07    0.383E-08
    18.910     0.000    0.246E-07    0.328E-08
    19.510     0.000    0.259E-07    0.313E-08
    20.070     0.000    0.230E-07    0.305E-08
    20.690     0.000    0.486E-07    0.286E-08
    21.290     0.000    0.599E-07    0.268E-08
    21.890     0.000    0.105E-06    0.268E-08
    22.620     0.000    0.105E-06    0.248E-08
    23.270     0.000    0.924E-07    0.230E-08
    24.040     0.000    0.924E-07    0.227E-08
    24.770     0.000    0.812E-07    0.186E-08
    25.500     0.000    0.680E-07    0.186E-08
    26.280     0.000    0.545E-07    0.157E-08
    27.060     0.000    0.420E-07    0.149E-08
    27.920     0.000    0.357E-07    0.157E-08
    28.650     0.000    0.324E-07    0.178E-08
    29.500     0.000    0.293E-07    0.133E-08
    30.490     0.000    0.283E-07    0.146E-08
