# fe1_exp_011_023_photoabs_1965Wyc.dat                   
#
# Z = 11, A = 23
# No. of entries:   26
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1965Wyc  J.M.Wyckoff, B.Ziegler, H.W.Koch, R.Uhlig; Phys. Rev. B137, 576(1965).                                                                      
#    E         dE       f1           df1
    12.900     0.000    0.962E-09    0.000E+00
    13.400     0.000    0.443E-08    0.000E+00
    14.500     0.000    0.326E-07    0.000E+00
    14.900     0.000    0.214E-07    0.000E+00
    15.400     0.000    0.289E-07    0.000E+00
    15.900     0.000    0.357E-07    0.000E+00
    16.500     0.000    0.498E-07    0.000E+00
    17.000     0.000    0.566E-07    0.000E+00
    17.400     0.000    0.773E-07    0.000E+00
    17.900     0.000    0.906E-07    0.000E+00
    18.400     0.000    0.660E-07    0.000E+00
    19.000     0.000    0.726E-07    0.000E+00
    19.400     0.000    0.693E-07    0.000E+00
    20.000     0.000    0.746E-07    0.000E+00
    20.400     0.000    0.638E-07    0.000E+00
    20.900     0.000    0.664E-07    0.000E+00
    21.300     0.000    0.782E-07    0.000E+00
    21.900     0.000    0.697E-07    0.000E+00
    22.500     0.000    0.436E-07    0.000E+00
    23.000     0.000    0.509E-07    0.000E+00
    23.500     0.000    0.583E-07    0.000E+00
    24.000     0.000    0.524E-07    0.000E+00
    24.500     0.000    0.616E-07    0.000E+00
    25.000     0.000    0.614E-07    0.000E+00
    25.500     0.000    0.432E-07    0.000E+00
    25.900     0.000    0.425E-07    0.000E+00
