# fe1_exp_011_023_photoabs_2002Ish.dat                   
#
# Z = 11, A = 23
# No. of entries:   54
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(200                    
#    E         dE       f1           df1
    12.800     0.000    0.407E-08    0.000E+00
    13.000     0.000    0.467E-08    0.000E+00
    13.300     0.000    0.848E-08    0.000E+00
    13.500     0.000    0.109E-07    0.000E+00
    13.800     0.000    0.176E-07    0.000E+00
    14.000     0.000    0.173E-07    0.000E+00
    14.300     0.000    0.200E-07    0.000E+00
    14.500     0.000    0.251E-07    0.000E+00
    14.800     0.000    0.352E-07    0.000E+00
    15.000     0.000    0.359E-07    0.000E+00
    15.300     0.000    0.340E-07    0.000E+00
    15.500     0.000    0.381E-07    0.000E+00
    15.800     0.000    0.538E-07    0.000E+00
    16.000     0.000    0.602E-07    0.000E+00
    16.300     0.000    0.724E-07    0.000E+00
    16.500     0.000    0.657E-07    0.000E+00
    16.800     0.000    0.718E-07    0.000E+00
    17.000     0.000    0.765E-07    0.000E+00
    17.300     0.000    0.983E-07    0.000E+00
    17.500     0.000    0.101E-06    0.000E+00
    17.800     0.000    0.960E-07    0.000E+00
    18.000     0.000    0.983E-07    0.000E+00
    18.300     0.000    0.910E-07    0.000E+00
    18.500     0.000    0.900E-07    0.000E+00
    18.800     0.000    0.886E-07    0.000E+00
    19.000     0.000    0.867E-07    0.000E+00
    19.300     0.000    0.917E-07    0.000E+00
    19.500     0.000    0.101E-06    0.000E+00
    19.800     0.000    0.108E-06    0.000E+00
    20.000     0.000    0.110E-06    0.000E+00
    20.300     0.000    0.109E-06    0.000E+00
    20.500     0.000    0.113E-06    0.000E+00
    20.800     0.000    0.118E-06    0.000E+00
    21.000     0.000    0.121E-06    0.000E+00
    21.300     0.000    0.111E-06    0.000E+00
    21.500     0.000    0.110E-06    0.000E+00
    21.800     0.000    0.911E-07    0.000E+00
    22.000     0.000    0.871E-07    0.000E+00
    22.300     0.000    0.731E-07    0.000E+00
    22.500     0.000    0.698E-07    0.000E+00
    22.800     0.000    0.662E-07    0.000E+00
    23.000     0.000    0.709E-07    0.000E+00
    23.300     0.000    0.689E-07    0.000E+00
    23.500     0.000    0.631E-07    0.000E+00
    23.800     0.000    0.656E-07    0.000E+00
    24.000     0.000    0.694E-07    0.000E+00
    24.300     0.000    0.728E-07    0.000E+00
    24.500     0.000    0.761E-07    0.000E+00
    24.800     0.000    0.734E-07    0.000E+00
    25.000     0.000    0.749E-07    0.000E+00
    25.300     0.000    0.744E-07    0.000E+00
    25.500     0.000    0.704E-07    0.000E+00
    25.800     0.000    0.676E-07    0.000E+00
    26.000     0.000    0.717E-07    0.000E+00
