# fe1_exp_011_023_photoneut_1971Alv.dat                  
#
# Z = 11, A = 23
# No. of entries:   67
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Alv  R.A.Alvarez, B.L.Berman, D.R.Lasher, T.W.Phillips, S.C.Fultz Phys.Rev. C4, 1673 (1971).                                                     
#    E         dE       f1           df1
    12.659     0.000    0.274E-08    0.123E-08
    12.868     0.000    0.142E-08    0.135E-08
    13.077     0.000    0.531E-08    0.126E-08
    13.286     0.000    0.731E-08    0.150E-08
    13.495     0.000    0.932E-08    0.154E-08
    13.704     0.000    0.103E-07    0.158E-08
    13.913     0.000    0.106E-07    0.112E-08
    14.018     0.000    0.122E-07    0.118E-08
    14.122     0.000    0.195E-07    0.123E-08
    14.227     0.000    0.158E-07    0.140E-08
    14.331     0.000    0.149E-07    0.115E-08
    14.436     0.000    0.171E-07    0.144E-08
    14.540     0.000    0.269E-07    0.113E-08
    14.645     0.000    0.262E-07    0.166E-08
    14.749     0.000    0.240E-07    0.200E-08
    14.854     0.000    0.190E-07    0.152E-08
    14.959     0.000    0.246E-07    0.197E-08
    15.168     0.000    0.206E-07    0.183E-08
    15.377     0.000    0.253E-07    0.192E-08
    15.586     0.000    0.280E-07    0.200E-08
    15.795     0.000    0.319E-07    0.209E-08
    16.004     0.000    0.386E-07    0.211E-08
    16.213     0.000    0.426E-07    0.209E-08
    16.422     0.000    0.410E-07    0.206E-08
    16.631     0.000    0.383E-07    0.203E-08
    16.840     0.000    0.408E-07    0.206E-08
    17.049     0.000    0.434E-07    0.219E-08
    17.154     0.000    0.444E-07    0.207E-08
    17.258     0.000    0.518E-07    0.161E-08
    17.363     0.000    0.448E-07    0.210E-08
    17.467     0.000    0.456E-07    0.154E-08
    17.676     0.000    0.432E-07    0.221E-08
    17.885     0.000    0.400E-07    0.218E-08
    18.094     0.000    0.399E-07    0.221E-08
    18.303     0.000    0.454E-07    0.194E-08
    18.512     0.000    0.426E-07    0.192E-08
    18.721     0.000    0.505E-07    0.204E-08
    18.930     0.000    0.423E-07    0.197E-08
    19.140     0.000    0.443E-07    0.199E-08
    19.349     0.000    0.392E-07    0.193E-08
    19.558     0.000    0.442E-07    0.204E-08
    19.767     0.000    0.436E-07    0.202E-08
    19.976     0.000    0.401E-07    0.191E-08
    20.185     0.000    0.388E-07    0.202E-08
    20.394     0.000    0.388E-07    0.149E-08
    20.603     0.000    0.397E-07    0.156E-08
    20.812     0.000    0.383E-07    0.183E-08
    21.021     0.000    0.413E-07    0.157E-08
    21.230     0.000    0.352E-07    0.208E-08
    21.439     0.000    0.374E-07    0.174E-08
    21.648     0.000    0.421E-07    0.184E-08
    21.857     0.000    0.378E-07    0.143E-08
    22.066     0.000    0.401E-07    0.177E-08
    22.275     0.000    0.341E-07    0.148E-08
    22.484     0.000    0.365E-07    0.135E-08
    22.693     0.000    0.325E-07    0.141E-08
    22.902     0.000    0.366E-07    0.148E-08
    23.111     0.000    0.367E-07    0.146E-08
    23.321     0.000    0.372E-07    0.141E-08
    23.530     0.000    0.353E-07    0.159E-08
    23.739     0.000    0.384E-07    0.164E-08
    23.948     0.000    0.424E-07    0.156E-08
    24.157     0.000    0.373E-07    0.187E-08
    24.470     0.000    0.348E-07    0.163E-08
    24.889     0.000    0.318E-07    0.160E-08
    25.307     0.000    0.398E-07    0.171E-08
    25.725     0.000    0.371E-07    0.172E-08
