# fe1_exp_012_024_photoabs_1966Dol.dat                   
#
# Z = 12, A = 24
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1966Dol  B.S.Dolbilkin, et al.,; Izv. Rossiiskoi Akademii Nauk, Ser.Fiz 30(2), 349(1966); (Bull.Russ.Acad.Sci. - Physics 30(2), 354(1966)).          
#    E         dE       f1           df1
    16.750     0.000    0.544E-07    0.168E-07
    17.000     0.000    0.964E-07    0.177E-07
    17.250     0.000    0.110E-06    0.263E-07
    17.500     0.000    0.704E-07    0.127E-07
    17.750     0.000    0.155E-07    0.108E-07
    18.000     0.000    0.573E-07    0.136E-07
    18.143     0.000    0.889E-07    0.180E-07
    18.286     0.000    0.114E-06    0.196E-07
    18.429     0.000    0.115E-06    0.150E-07
    18.571     0.000    0.176E-06    0.220E-07
    18.714     0.000    0.190E-06    0.194E-07
    18.857     0.000    0.161E-06    0.337E-07
    19.000     0.000    0.186E-06    0.333E-07
    19.143     0.000    0.116E-06    0.331E-07
    19.286     0.000    0.769E-07    0.222E-07
    19.429     0.000    0.888E-07    0.232E-07
    19.571     0.000    0.135E-06    0.230E-07
    19.714     0.000    0.128E-06    0.363E-07
    19.857     0.000    0.131E-06    0.105E-07
    20.000     0.000    0.193E-06    0.159E-07
    20.200     0.000    0.165E-06    0.177E-07
    20.400     0.000    0.145E-06    0.147E-07
    20.600     0.000    0.141E-06    0.194E-07
    20.800     0.000    0.112E-06    0.659E-08
    21.000     0.000    0.129E-06    0.347E-07
    21.200     0.000    0.124E-06    0.137E-07
    21.400     0.000    0.957E-07    0.977E-08
    21.600     0.000    0.968E-07    0.851E-08
    21.800     0.000    0.891E-07    0.119E-07
    22.000     0.000    0.116E-06    0.128E-07
    22.200     0.000    0.106E-06    0.123E-07
    22.600     0.000    0.135E-06    0.944E-08
    22.800     0.000    0.124E-06    0.118E-07
    23.000     0.000    0.117E-06    0.279E-07
    23.200     0.000    0.101E-06    0.120E-07
    23.400     0.000    0.115E-06    0.148E-07
    23.600     0.000    0.133E-06    0.270E-07
    23.800     0.000    0.122E-06    0.153E-07
    24.100     0.000    0.698E-07    0.720E-08
    24.250     0.000    0.937E-07    0.100E-07
    24.500     0.000    0.131E-06    0.142E-07
    24.750     0.000    0.936E-07    0.158E-07
    25.000     0.000    0.104E-06    0.104E-07
    25.250     0.000    0.917E-07    0.135E-07
    25.500     0.000    0.476E-07    0.214E-07
    25.750     0.000    0.691E-07    0.129E-07
    26.050     0.000    0.619E-07    0.246E-07
    26.250     0.000    0.582E-07    0.203E-07
    26.500     0.000    0.763E-07    0.926E-08
    26.750     0.000    0.934E-07    0.255E-07
    27.000     0.000    0.874E-07    0.186E-07
    27.250     0.000    0.668E-07    0.181E-07
    27.450     0.000    0.629E-07    0.992E-08
    27.750     0.000    0.572E-07    0.210E-07
    28.000     0.000    0.570E-07    0.288E-07
    28.250     0.000    0.250E-07    0.154E-07
    28.750     0.000    0.284E-07    0.151E-07
    29.250     0.000    0.394E-07    0.216E-07
    29.750     0.000    0.426E-07    0.258E-07
