# fe1_exp_012_025_photoabs_2002Ish.dat                   
#
# Z = 12, A = 25
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(2002).                 
#    E         dE       f1           df1
     9.400     0.000    0.203E-07    0.000E+00
     9.600     0.000    0.208E-07    0.000E+00
     9.800     0.000    0.248E-07    0.000E+00
    10.000     0.000    0.226E-07    0.000E+00
    10.200     0.000    0.221E-07    0.000E+00
    10.400     0.000    0.259E-07    0.000E+00
    10.600     0.000    0.319E-07    0.000E+00
    10.800     0.000    0.265E-07    0.000E+00
    11.000     0.000    0.284E-07    0.000E+00
    11.200     0.000    0.186E-07    0.000E+00
    11.400     0.000    0.190E-07    0.000E+00
    11.600     0.000    0.269E-07    0.000E+00
    11.800     0.000    0.213E-07    0.000E+00
    12.000     0.000    0.166E-07    0.000E+00
    12.200     0.000    0.185E-07    0.000E+00
    12.400     0.000    0.154E-07    0.000E+00
    12.600     0.000    0.117E-07    0.000E+00
    12.800     0.000    0.190E-07    0.000E+00
    13.000     0.000    0.234E-07    0.000E+00
    13.200     0.000    0.250E-07    0.000E+00
    13.400     0.000    0.298E-07    0.000E+00
    13.600     0.000    0.293E-07    0.000E+00
    13.800     0.000    0.226E-07    0.000E+00
    14.000     0.000    0.124E-07    0.000E+00
    14.200     0.000    0.116E-07    0.000E+00
    14.400     0.000    0.133E-07    0.000E+00
    14.600     0.000    0.232E-07    0.000E+00
    14.800     0.000    0.170E-07    0.000E+00
    15.000     0.000    0.139E-07    0.000E+00
    15.200     0.000    0.154E-07    0.000E+00
    15.400     0.000    0.203E-07    0.000E+00
    15.600     0.000    0.306E-07    0.000E+00
    15.800     0.000    0.264E-07    0.000E+00
    16.000     0.000    0.396E-07    0.000E+00
    16.200     0.000    0.332E-07    0.000E+00
    16.400     0.000    0.397E-07    0.000E+00
    16.600     0.000    0.496E-07    0.000E+00
    16.800     0.000    0.496E-07    0.000E+00
    17.000     0.000    0.459E-07    0.000E+00
    17.200     0.000    0.580E-07    0.000E+00
    17.400     0.000    0.633E-07    0.000E+00
    17.600     0.000    0.596E-07    0.000E+00
    17.800     0.000    0.599E-07    0.000E+00
    18.000     0.000    0.554E-07    0.000E+00
    18.200     0.000    0.539E-07    0.000E+00
    18.400     0.000    0.651E-07    0.000E+00
    18.600     0.000    0.774E-07    0.000E+00
    18.800     0.000    0.826E-07    0.000E+00
    19.000     0.000    0.886E-07    0.000E+00
    19.200     0.000    0.998E-07    0.000E+00
    19.400     0.000    0.113E-06    0.000E+00
    19.600     0.000    0.133E-06    0.000E+00
    19.800     0.000    0.130E-06    0.000E+00
    20.000     0.000    0.113E-06    0.000E+00
    20.200     0.000    0.113E-06    0.000E+00
    20.400     0.000    0.122E-06    0.000E+00
    20.600     0.000    0.124E-06    0.000E+00
    20.800     0.000    0.124E-06    0.000E+00
    21.000     0.000    0.128E-06    0.000E+00
    21.200     0.000    0.128E-06    0.000E+00
    21.400     0.000    0.127E-06    0.000E+00
    21.600     0.000    0.122E-06    0.000E+00
    21.800     0.000    0.129E-06    0.000E+00
    22.000     0.000    0.118E-06    0.000E+00
    22.200     0.000    0.130E-06    0.000E+00
    22.400     0.000    0.134E-06    0.000E+00
    22.600     0.000    0.131E-06    0.000E+00
    22.800     0.000    0.118E-06    0.000E+00
    23.000     0.000    0.120E-06    0.000E+00
    23.200     0.000    0.128E-06    0.000E+00
    23.400     0.000    0.119E-06    0.000E+00
    23.600     0.000    0.106E-06    0.000E+00
    23.800     0.000    0.106E-06    0.000E+00
    24.000     0.000    0.110E-06    0.000E+00
    24.200     0.000    0.103E-06    0.000E+00
    24.400     0.000    0.108E-06    0.000E+00
    24.600     0.000    0.112E-06    0.000E+00
    24.800     0.000    0.108E-06    0.000E+00
    25.000     0.000    0.101E-06    0.000E+00
    25.200     0.000    0.933E-07    0.000E+00
    25.400     0.000    0.922E-07    0.000E+00
    25.600     0.000    0.857E-07    0.000E+00
    25.800     0.000    0.793E-07    0.000E+00
    26.000     0.000    0.817E-07    0.000E+00
    26.200     0.000    0.781E-07    0.000E+00
    26.400     0.000    0.785E-07    0.000E+00
    26.600     0.000    0.766E-07    0.000E+00
    26.800     0.000    0.728E-07    0.000E+00
    27.000     0.000    0.707E-07    0.000E+00
    27.200     0.000    0.670E-07    0.000E+00
    27.400     0.000    0.639E-07    0.000E+00
    27.600     0.000    0.610E-07    0.000E+00
    27.800     0.000    0.580E-07    0.000E+00
    28.000     0.000    0.551E-07    0.000E+00
    28.200     0.000    0.529E-07    0.000E+00
    28.400     0.000    0.507E-07    0.000E+00
    28.600     0.000    0.488E-07    0.000E+00
    28.800     0.000    0.473E-07    0.000E+00
    29.000     0.000    0.458E-07    0.000E+00
    29.200     0.000    0.446E-07    0.000E+00
    29.400     0.000    0.434E-07    0.000E+00
    29.600     0.000    0.422E-07    0.000E+00
    29.800     0.000    0.413E-07    0.000E+00
    30.000     0.000    0.405E-07    0.000E+00
    30.200     0.000    0.393E-07    0.000E+00
    30.400     0.000    0.382E-07    0.000E+00
    30.600     0.000    0.374E-07    0.000E+00
    30.800     0.000    0.369E-07    0.000E+00
    31.000     0.000    0.364E-07    0.000E+00
