# fe1_exp_012_nat_photoabs_1965Wyc.dat                   
#
# Z = 12, A =  0
# No. of entries:   31
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1965Wyc  J.M.Wyckoff, B.Ziegler, H.W.Koch, R.Uhlig; Phys. Rev. B137, 576(1965).                                                                      
#    E         dE       f1           df1
    16.600     0.000    0.298E-07    0.000E+00
    17.100     0.000    0.659E-07    0.000E+00
    17.600     0.000    0.586E-07    0.000E+00
    18.100     0.000    0.542E-07    0.000E+00
    18.600     0.000    0.126E-06    0.000E+00
    19.100     0.000    0.160E-06    0.000E+00
    19.500     0.000    0.111E-06    0.000E+00
    20.200     0.000    0.113E-06    0.000E+00
    20.600     0.000    0.102E-06    0.000E+00
    21.100     0.000    0.802E-07    0.000E+00
    21.600     0.000    0.667E-07    0.000E+00
    22.100     0.000    0.691E-07    0.000E+00
    22.500     0.000    0.709E-07    0.000E+00
    23.100     0.000    0.642E-07    0.000E+00
    23.600     0.000    0.673E-07    0.000E+00
    24.100     0.000    0.677E-07    0.000E+00
    24.600     0.000    0.614E-07    0.000E+00
    25.100     0.000    0.650E-07    0.000E+00
    25.600     0.000    0.576E-07    0.000E+00
    26.100     0.000    0.592E-07    0.000E+00
    26.600     0.000    0.567E-07    0.000E+00
    27.100     0.000    0.512E-07    0.000E+00
    27.600     0.000    0.487E-07    0.000E+00
    28.100     0.000    0.398E-07    0.000E+00
    28.600     0.000    0.452E-07    0.000E+00
    29.000     0.000    0.326E-07    0.000E+00
    29.400     0.000    0.301E-07    0.000E+00
    30.100     0.000    0.308E-07    0.000E+00
    30.600     0.000    0.320E-07    0.000E+00
    31.100     0.000    0.296E-07    0.000E+00
    31.600     0.000    0.202E-07    0.000E+00
