# fe1_exp_013_027_photoabs_1972Ahr.dat                   
#
# Z = 13, A = 27
# No. of entries:   88
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972Ahr  J.Ahrens, H.Borchert, H.B.Eppler, H.Gimm, H.Gundrum; Conf.Nucl.Structure Studies, Sendai, Japan,  213, (1972).                              
#    E         dE       f1           df1
    13.100     0.000    0.140E-07    0.113E-07
    13.300     0.000    0.138E-07    0.959E-08
    13.500     0.000    0.428E-07    0.116E-07
    13.700     0.000    0.321E-07    0.785E-08
    13.900     0.000    0.330E-07    0.106E-07
    14.200     0.000    0.330E-07    0.104E-07
    14.300     0.000    0.321E-07    0.110E-07
    14.400     0.000    0.305E-07    0.109E-07
    14.700     0.000    0.352E-07    0.120E-07
    14.900     0.000    0.466E-07    0.119E-07
    15.100     0.000    0.375E-07    0.110E-07
    15.300     0.000    0.351E-07    0.103E-07
    15.600     0.000    0.623E-07    0.945E-08
    15.700     0.000    0.685E-07    0.939E-08
    15.900     0.000    0.627E-07    0.862E-08
    16.100     0.000    0.646E-07    0.110E-07
    16.300     0.000    0.851E-07    0.109E-07
    16.500     0.000    0.783E-07    0.652E-08
    16.700     0.000    0.919E-07    0.106E-07
    17.000     0.000    0.980E-07    0.127E-07
    17.100     0.000    0.949E-07    0.746E-08
    17.300     0.000    0.102E-06    0.113E-07
    17.500     0.000    0.768E-07    0.729E-08
    17.700     0.000    0.970E-07    0.100E-07
    17.900     0.000    0.111E-06    0.877E-08
    18.100     0.000    0.110E-06    0.867E-08
    18.200     0.000    0.136E-06    0.967E-08
    18.500     0.000    0.130E-06    0.797E-08
    18.600     0.000    0.133E-06    0.951E-08
    18.900     0.000    0.143E-06    0.987E-08
    19.100     0.000    0.130E-06    0.772E-08
    19.300     0.000    0.150E-06    0.107E-07
    19.500     0.000    0.131E-06    0.907E-08
    19.800     0.000    0.141E-06    0.942E-08
    19.900     0.000    0.157E-06    0.985E-08
    20.100     0.000    0.158E-06    0.781E-08
    20.300     0.000    0.165E-06    0.919E-08
    20.500     0.000    0.162E-06    0.105E-07
    20.700     0.000    0.168E-06    0.997E-08
    20.900     0.000    0.163E-06    0.988E-08
    21.100     0.000    0.153E-06    0.978E-08
    21.300     0.000    0.167E-06    0.920E-08
    21.500     0.000    0.160E-06    0.823E-08
    21.700     0.000    0.170E-06    0.109E-07
    21.900     0.000    0.163E-06    0.986E-08
    22.000     0.000    0.148E-06    0.891E-08
    22.300     0.000    0.136E-06    0.836E-08
    22.500     0.000    0.136E-06    0.871E-08
    22.700     0.000    0.112E-06    0.909E-08
    22.900     0.000    0.909E-07    0.129E-07
    23.100     0.000    0.104E-06    0.894E-08
    23.300     0.000    0.968E-07    0.674E-08
    23.500     0.000    0.989E-07    0.834E-08
    23.700     0.000    0.908E-07    0.871E-08
    23.800     0.000    0.813E-07    0.161E-07
    24.000     0.000    0.755E-07    0.817E-08
    24.300     0.000    0.828E-07    0.850E-08
    24.400     0.000    0.789E-07    0.725E-08
    24.600     0.000    0.755E-07    0.557E-08
    24.900     0.000    0.718E-07    0.107E-07
    25.100     0.000    0.740E-07    0.781E-08
    25.300     0.000    0.689E-07    0.854E-08
    25.400     0.000    0.645E-07    0.813E-08
    25.600     0.000    0.728E-07    0.766E-08
    25.800     0.000    0.518E-07    0.209E-07
    26.100     0.000    0.628E-07    0.827E-08
    26.200     0.000    0.662E-07    0.900E-08
    26.500     0.000    0.517E-07    0.104E-07
    26.600     0.000    0.492E-07    0.737E-08
    26.800     0.000    0.324E-07    0.880E-08
    27.100     0.000    0.557E-07    0.688E-08
    27.300     0.000    0.620E-07    0.101E-07
    27.400     0.000    0.630E-07    0.788E-08
    27.700     0.000    0.554E-07    0.993E-08
    27.800     0.000    0.652E-07    0.102E-07
    28.000     0.000    0.620E-07    0.805E-08
    28.300     0.000    0.585E-07    0.659E-08
    28.400     0.000    0.388E-07    0.864E-08
    28.600     0.000    0.458E-07    0.825E-08
    28.800     0.000    0.431E-07    0.750E-08
    29.100     0.000    0.495E-07    0.674E-08
    29.200     0.000    0.374E-07    0.942E-08
    29.400     0.000    0.469E-07    0.634E-08
    29.600     0.000    0.357E-07    0.598E-08
    29.800     0.000    0.498E-07    0.527E-08
    30.000     0.000    0.338E-07    0.653E-08
    30.200     0.000    0.359E-07    0.520E-08
    30.300     0.000    0.461E-07    0.647E-08
