#  f1_exp_013_027_photoabs_1975Ahr_M0372006.dat          
#
# Z = 13, A = 27
# No. of entries:   87
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J.Ahrens, H.Borchert, K.H.Czock, et al.,; Nucl. Phys. A251, 479(1975).                                                                      
#    E         dE       f1           df1
    13.200     0.000    0.105E-06    0.105E-06
    13.400     0.000    0.151E-06    0.000E+00
    13.600     0.000    0.427E-06    0.000E+00
    13.800     0.000    0.366E-06    0.000E+00
    14.000     0.000    0.325E-06    0.000E+00
    14.200     0.000    0.311E-06    0.000E+00
    14.400     0.000    0.333E-06    0.000E+00
    14.600     0.000    0.294E-06    0.000E+00
    14.800     0.000    0.443E-06    0.000E+00
    15.000     0.000    0.555E-06    0.000E+00
    15.200     0.000    0.398E-06    0.000E+00
    15.400     0.000    0.397E-06    0.000E+00
    15.600     0.000    0.720E-06    0.000E+00
    15.800     0.000    0.671E-06    0.000E+00
    16.000     0.000    0.654E-06    0.000E+00
    16.200     0.000    0.693E-06    0.000E+00
    16.400     0.000    0.892E-06    0.000E+00
    16.600     0.000    0.751E-06    0.000E+00
    16.800     0.000    0.864E-06    0.000E+00
    17.000     0.000    0.102E-05    0.000E+00
    17.200     0.000    0.997E-06    0.000E+00
    17.400     0.000    0.101E-05    0.000E+00
    17.600     0.000    0.954E-06    0.000E+00
    17.800     0.000    0.104E-05    0.000E+00
    18.000     0.000    0.114E-05    0.000E+00
    18.200     0.000    0.127E-05    0.000E+00
    18.400     0.000    0.149E-05    0.000E+00
    18.600     0.000    0.153E-05    0.000E+00
    18.800     0.000    0.135E-05    0.000E+00
    19.000     0.000    0.141E-05    0.000E+00
    19.200     0.000    0.126E-05    0.000E+00
    19.400     0.000    0.150E-05    0.000E+00
    19.600     0.000    0.136E-05    0.000E+00
    19.800     0.000    0.148E-05    0.000E+00
    20.000     0.000    0.155E-05    0.000E+00
    20.200     0.000    0.163E-05    0.000E+00
    20.400     0.000    0.160E-05    0.000E+00
    20.600     0.000    0.171E-05    0.000E+00
    20.800     0.000    0.173E-05    0.000E+00
    21.000     0.000    0.160E-05    0.000E+00
    21.200     0.000    0.167E-05    0.123E-06
    21.400     0.000    0.162E-05    0.811E-07
    21.600     0.000    0.153E-05    0.000E+00
    21.800     0.000    0.159E-05    0.119E-06
    22.000     0.000    0.161E-05    0.000E+00
    22.200     0.000    0.156E-05    0.000E+00
    22.400     0.000    0.138E-05    0.000E+00
    22.600     0.000    0.140E-05    0.768E-07
    22.800     0.000    0.112E-05    0.437E-07
    23.000     0.000    0.944E-06    0.151E-06
    23.200     0.000    0.114E-05    0.748E-07
    23.400     0.000    0.970E-06    0.741E-07
    23.600     0.000    0.102E-05    0.735E-07
    23.800     0.000    0.864E-06    0.729E-07
    24.000     0.000    0.841E-06    0.181E-06
    24.200     0.000    0.730E-06    0.717E-07
    24.400     0.000    0.858E-06    0.000E+00
    24.600     0.000    0.846E-06    0.000E+00
    24.800     0.000    0.729E-06    0.000E+00
    25.000     0.000    0.757E-06    0.000E+00
    25.200     0.000    0.801E-06    0.103E-06
    25.400     0.000    0.646E-06    0.000E+00
    25.600     0.000    0.675E-06    0.000E+00
    25.800     0.000    0.797E-06    0.672E-07
    26.000     0.000    0.801E-06    0.183E-06
    26.200     0.000    0.636E-06    0.662E-07
    26.400     0.000    0.769E-06    0.000E+00
    26.600     0.000    0.569E-06    0.000E+00
    26.800     0.000    0.518E-06    0.000E+00
    27.000     0.000    0.463E-06    0.000E+00
    27.200     0.000    0.580E-06    0.000E+00
    27.400     0.000    0.599E-06    0.000E+00
    27.600     0.000    0.640E-06    0.000E+00
    27.800     0.000    0.531E-06    0.000E+00
    28.000     0.000    0.541E-06    0.000E+00
    28.200     0.000    0.622E-06    0.000E+00
    28.400     0.000    0.529E-06    0.000E+00
    28.600     0.000    0.419E-06    0.910E-07
    28.800     0.000    0.342E-06    0.904E-07
    29.000     0.000    0.400E-06    0.449E-07
    29.200     0.000    0.432E-06    0.000E+00
    29.400     0.000    0.445E-06    0.000E+00
    29.600     0.000    0.482E-06    0.469E-07
    29.800     0.000    0.379E-06    0.000E+00
    30.000     0.000    0.509E-06    0.000E+00
    30.200     0.000    0.426E-06    0.000E+00
    30.400     0.000    0.357E-06    0.000E+00
