# fe1_exp_013_027_photoabs_1975Ahr.dat                   
#
# Z = 13, A = 27
# No. of entries:   87
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J.Ahrens, H.Borchert, K.H.Czock, et al.,; Nucl. Phys. A251, 479(1975).                                                                      
#    E         dE       f1           df1
    13.200     0.000    0.143E-07    0.105E-07
    13.400     0.000    0.425E-07    0.841E-08
    13.600     0.000    0.392E-07    0.925E-08
    13.800     0.000    0.330E-07    0.911E-08
    14.000     0.000    0.321E-07    0.917E-08
    14.200     0.000    0.319E-07    0.996E-08
    14.400     0.000    0.283E-07    0.922E-08
    14.600     0.000    0.430E-07    0.737E-08
    14.800     0.000    0.550E-07    0.850E-08
    15.000     0.000    0.397E-07    0.925E-08
    15.200     0.000    0.337E-07    0.873E-08
    15.400     0.000    0.710E-07    0.901E-08
    15.600     0.000    0.684E-07    0.612E-08
    15.800     0.000    0.653E-07    0.911E-08
    16.000     0.000    0.683E-07    0.764E-08
    16.200     0.000    0.867E-07    0.889E-08
    16.400     0.000    0.804E-07    0.730E-08
    16.600     0.000    0.857E-07    0.742E-08
    16.800     0.000    0.103E-06    0.929E-08
    17.000     0.000    0.100E-06    0.857E-08
    17.200     0.000    0.103E-06    0.847E-08
    17.400     0.000    0.101E-06    0.102E-07
    17.600     0.000    0.104E-06    0.739E-08
    17.800     0.000    0.114E-06    0.707E-08
    18.000     0.000    0.125E-06    0.810E-08
    18.200     0.000    0.148E-06    0.763E-08
    18.400     0.000    0.153E-06    0.792E-08
    18.600     0.000    0.135E-06    0.844E-08
    18.800     0.000    0.142E-06    0.669E-08
    19.000     0.000    0.125E-06    0.790E-08
    19.200     0.000    0.150E-06    0.818E-08
    19.400     0.000    0.136E-06    0.751E-08
    19.600     0.000    0.150E-06    0.801E-08
    19.800     0.000    0.157E-06    0.701E-08
    20.000     0.000    0.163E-06    0.820E-08
    20.200     0.000    0.161E-06    0.940E-08
    20.400     0.000    0.172E-06    0.859E-08
    20.600     0.000    0.175E-06    0.851E-08
    20.800     0.000    0.161E-06    0.859E-08
    21.000     0.000    0.170E-06    0.126E-07
    21.200     0.000    0.164E-06    0.896E-08
    21.400     0.000    0.154E-06    0.101E-07
    21.600     0.000    0.161E-06    0.110E-07
    21.800     0.000    0.163E-06    0.101E-07
    22.000     0.000    0.157E-06    0.856E-08
    22.200     0.000    0.138E-06    0.875E-08
    22.400     0.000    0.140E-06    0.894E-08
    22.600     0.000    0.112E-06    0.695E-08
    22.800     0.000    0.943E-07    0.143E-07
    23.000     0.000    0.117E-06    0.713E-08
    23.200     0.000    0.983E-07    0.703E-08
    23.400     0.000    0.103E-06    0.704E-08
    23.600     0.000    0.886E-07    0.798E-08
    23.800     0.000    0.842E-07    0.140E-07
    24.000     0.000    0.748E-07    0.824E-08
    24.200     0.000    0.864E-07    0.731E-08
    24.400     0.000    0.846E-07    0.761E-08
    24.600     0.000    0.779E-07    0.638E-08
    24.800     0.000    0.808E-07    0.101E-07
    25.000     0.000    0.763E-07    0.701E-08
    25.200     0.000    0.657E-07    0.947E-08
    25.400     0.000    0.690E-07    0.823E-08
    25.600     0.000    0.810E-07    0.735E-08
    25.800     0.000    0.827E-07    0.190E-07
    26.000     0.000    0.651E-07    0.794E-08
    26.200     0.000    0.775E-07    0.814E-08
    26.400     0.000    0.559E-07    0.821E-08
    26.600     0.000    0.509E-07    0.802E-08
    26.800     0.000    0.450E-07    0.819E-08
    27.000     0.000    0.581E-07    0.697E-08
    27.200     0.000    0.612E-07    0.638E-08
    27.400     0.000    0.639E-07    0.801E-08
    27.600     0.000    0.522E-07    0.798E-08
    27.800     0.000    0.530E-07    0.796E-08
    28.000     0.000    0.616E-07    0.768E-08
    28.200     0.000    0.523E-07    0.674E-08
    28.400     0.000    0.409E-07    0.706E-08
    28.600     0.000    0.373E-07    0.876E-08
    28.800     0.000    0.395E-07    0.539E-08
    29.000     0.000    0.434E-07    0.496E-08
    29.200     0.000    0.452E-07    0.754E-08
    29.400     0.000    0.484E-07    0.472E-08
    29.600     0.000    0.393E-07    0.530E-08
    29.800     0.000    0.504E-07    0.530E-08
    30.000     0.000    0.439E-07    0.613E-08
    30.200     0.000    0.342E-07    0.520E-08
    30.400     0.000    0.474E-07    0.505E-08
