# fe1_exp_013_027_photoabs_1985Ahr.dat                   
#
# Z = 13, A = 27
# No. of entries:   29
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1985Ahr  J.Ahrens; Nucl.Phys. A446, 229c(1985).                                                                                                      
#    E         dE       f1           df1
    13.250     0.000    0.228E-07    0.239E-08
    13.630     0.000    0.312E-07    0.262E-08
    14.040     0.000    0.342E-07    0.242E-08
    14.510     0.000    0.397E-07    0.172E-08
    14.900     0.000    0.481E-07    0.293E-08
    15.360     0.000    0.535E-07    0.147E-08
    15.840     0.000    0.712E-07    0.188E-08
    16.320     0.000    0.834E-07    0.159E-08
    16.800     0.000    0.924E-07    0.146E-08
    17.310     0.000    0.972E-07    0.190E-08
    17.840     0.000    0.115E-06    0.148E-08
    18.390     0.000    0.142E-06    0.172E-08
    18.950     0.000    0.137E-06    0.135E-08
    19.520     0.000    0.150E-06    0.136E-08
    20.070     0.000    0.163E-06    0.227E-08
    20.680     0.000    0.171E-06    0.205E-08
    21.340     0.000    0.161E-06    0.308E-08
    21.970     0.000    0.152E-06    0.279E-08
    22.660     0.000    0.118E-06    0.222E-08
    23.340     0.000    0.101E-06    0.177E-08
    24.070     0.000    0.836E-07    0.185E-08
    24.830     0.000    0.758E-07    0.147E-08
    25.440     0.000    0.730E-07    0.256E-08
    26.250     0.000    0.601E-07    0.886E-09
    27.070     0.000    0.545E-07    0.538E-09
    27.900     0.000    0.516E-07    0.687E-09
    28.620     0.000    0.427E-07    0.909E-09
    29.440     0.000    0.439E-07    0.268E-08
    30.390     0.000    0.445E-07    0.539E-09
