# fe1_exp_013_027_photoneut_1966Fu1.dat                  
#
# Z = 13, A = 27
# No. of entries:  138
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1966Fu1  S.C.Fultz, J.T.Caldwell, B.L.Berman, R.L.Bramblett, R.R.Harvey; Phys. Rev. 143, 790(1966).                                                  
#    E         dE       f1           df1
    13.197     0.000    0.986E-09    0.329E-09
    13.352     0.000    0.416E-08    0.585E-09
    13.507     0.000    0.315E-08    0.642E-09
    13.662     0.000    0.609E-08    0.571E-09
    13.817     0.000    0.791E-08    0.314E-09
    13.894     0.000    0.674E-08    0.749E-09
    13.972     0.000    0.484E-08    0.931E-09
    14.049     0.000    0.420E-08    0.309E-09
    14.127     0.000    0.473E-08    0.307E-09
    14.204     0.000    0.647E-08    0.916E-09
    14.281     0.000    0.692E-08    0.304E-09
    14.359     0.000    0.755E-08    0.121E-08
    14.436     0.000    0.673E-08    0.300E-09
    14.514     0.000    0.102E-07    0.657E-09
    14.591     0.000    0.844E-08    0.297E-09
    14.668     0.000    0.964E-08    0.296E-09
    14.746     0.000    0.723E-08    0.882E-09
    14.823     0.000    0.767E-08    0.878E-09
    14.901     0.000    0.844E-08    0.757E-09
    14.978     0.000    0.898E-08    0.811E-09
    15.056     0.000    0.916E-08    0.288E-09
    15.133     0.000    0.103E-07    0.573E-09
    15.210     0.000    0.901E-08    0.684E-09
    15.288     0.000    0.153E-07    0.908E-09
    15.365     0.000    0.141E-07    0.508E-09
    15.443     0.000    0.149E-07    0.955E-09
    15.520     0.000    0.142E-07    0.615E-09
    15.598     0.000    0.174E-07    0.890E-09
    15.675     0.000    0.202E-07    0.105E-08
    15.752     0.000    0.191E-07    0.275E-09
    15.830     0.000    0.194E-07    0.877E-09
    15.907     0.000    0.190E-07    0.545E-09
    15.985     0.000    0.214E-07    0.814E-09
    16.062     0.000    0.246E-07    0.864E-09
    16.140     0.000    0.252E-07    0.806E-09
    16.217     0.000    0.268E-07    0.642E-09
    16.294     0.000    0.263E-07    0.266E-09
    16.372     0.000    0.277E-07    0.583E-09
    16.449     0.000    0.276E-07    0.791E-09
    16.527     0.000    0.257E-07    0.105E-08
    16.604     0.000    0.259E-07    0.261E-09
    16.682     0.000    0.235E-07    0.832E-09
    16.759     0.000    0.242E-07    0.259E-09
    16.836     0.000    0.278E-07    0.876E-09
    16.953     0.000    0.292E-07    0.128E-08
    17.069     0.000    0.274E-07    0.762E-09
    17.185     0.000    0.278E-07    0.757E-09
    17.301     0.000    0.273E-07    0.802E-09
    17.378     0.000    0.313E-07    0.898E-09
    17.456     0.000    0.352E-07    0.745E-09
    17.533     0.000    0.371E-07    0.742E-09
    17.611     0.000    0.389E-07    0.108E-08
    17.688     0.000    0.408E-07    0.736E-09
    17.765     0.000    0.417E-07    0.879E-09
    17.920     0.000    0.419E-07    0.968E-09
    17.998     0.000    0.419E-07    0.964E-09
    18.075     0.000    0.442E-07    0.912E-09
    18.153     0.000    0.460E-07    0.119E-08
    18.230     0.000    0.504E-07    0.133E-08
    18.307     0.000    0.493E-07    0.853E-09
    18.385     0.000    0.476E-07    0.708E-09
    18.462     0.000    0.456E-07    0.846E-09
    18.540     0.000    0.465E-07    0.842E-09
    18.617     0.000    0.456E-07    0.699E-09
    18.695     0.000    0.451E-07    0.107E-08
    18.849     0.000    0.469E-07    0.138E-08
    18.927     0.000    0.490E-07    0.917E-09
    19.004     0.000    0.493E-07    0.114E-08
    19.082     0.000    0.464E-07    0.118E-08
    19.237     0.000    0.464E-07    0.113E-08
    19.391     0.000    0.470E-07    0.107E-08
    19.546     0.000    0.466E-07    0.124E-08
    19.701     0.000    0.542E-07    0.136E-08
    19.856     0.000    0.537E-07    0.135E-08
    20.011     0.000    0.542E-07    0.130E-08
    20.166     0.000    0.546E-07    0.151E-08
    20.321     0.000    0.525E-07    0.107E-08
    20.475     0.000    0.504E-07    0.127E-08
    20.630     0.000    0.500E-07    0.126E-08
    20.785     0.000    0.517E-07    0.142E-08
    20.940     0.000    0.563E-07    0.166E-08
    21.095     0.000    0.551E-07    0.144E-08
    21.250     0.000    0.592E-07    0.143E-08
    21.404     0.000    0.604E-07    0.142E-08
    21.482     0.000    0.533E-07    0.182E-08
    21.559     0.000    0.523E-07    0.141E-08
    21.637     0.000    0.485E-07    0.200E-08
    21.714     0.000    0.547E-07    0.180E-08
    21.869     0.000    0.555E-07    0.139E-08
    22.024     0.000    0.540E-07    0.158E-08
    22.179     0.000    0.520E-07    0.137E-08
    22.334     0.000    0.551E-07    0.132E-08
    22.488     0.000    0.474E-07    0.150E-08
    22.643     0.000    0.479E-07    0.142E-08
    22.798     0.000    0.472E-07    0.156E-08
    22.953     0.000    0.484E-07    0.144E-08
    23.108     0.000    0.473E-07    0.131E-08
    23.263     0.000    0.477E-07    0.153E-08
    23.418     0.000    0.441E-07    0.148E-08
    23.727     0.000    0.402E-07    0.150E-08
    23.882     0.000    0.392E-07    0.149E-08
    24.037     0.000    0.382E-07    0.162E-08
    24.192     0.000    0.366E-07    0.161E-08
    24.347     0.000    0.378E-07    0.153E-08
    24.501     0.000    0.320E-07    0.127E-08
    24.656     0.000    0.336E-07    0.130E-08
    24.811     0.000    0.278E-07    0.129E-08
    24.966     0.000    0.317E-07    0.149E-08
    25.121     0.000    0.319E-07    0.162E-08
    25.276     0.000    0.302E-07    0.148E-08
    25.431     0.000    0.297E-07    0.153E-08
    25.585     0.000    0.273E-07    0.156E-08
    25.740     0.000    0.286E-07    0.162E-08
    25.895     0.000    0.276E-07    0.147E-08
    26.050     0.000    0.267E-07    0.153E-08
    26.205     0.000    0.265E-07    0.146E-08
    26.360     0.000    0.259E-07    0.151E-08
    26.515     0.000    0.258E-07    0.141E-08
    26.669     0.000    0.248E-07    0.140E-08
    26.824     0.000    0.255E-07    0.136E-08
    26.979     0.000    0.292E-07    0.138E-08
    27.134     0.000    0.274E-07    0.150E-08
    27.289     0.000    0.270E-07    0.149E-08
    27.444     0.000    0.248E-07    0.145E-08
    27.598     0.000    0.255E-07    0.123E-08
    27.753     0.000    0.250E-07    0.119E-08
    27.908     0.000    0.231E-07    0.121E-08
    28.063     0.000    0.232E-07    0.896E-09
    28.218     0.000    0.251E-07    0.101E-08
    28.373     0.000    0.217E-07    0.113E-08
    28.528     0.000    0.245E-07    0.112E-08
    28.682     0.000    0.256E-07    0.127E-08
    28.837     0.000    0.199E-07    0.126E-08
    28.992     0.000    0.188E-07    0.120E-08
    29.302     0.000    0.216E-07    0.163E-08
    29.612     0.000    0.226E-07    0.123E-08
    29.921     0.000    0.185E-07    0.171E-08
    30.231     0.000    0.171E-07    0.178E-08
