# fe1_exp_016_032_photoabs_1968Dol.dat                   
#
# Z = 16, A = 32
# No. of entries:   33
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1968Dol  B.S.Dolbilkin, A.I.Isakov, V.I.Korin, L.E.Lazareva, F.A.Nikolaev; Yad.Fiz. 8, 1080(1968); (Soviet J.Nucl.Phys. 8, 626(1969)).               
#    E         dE       f1           df1
    15.250     0.000    0.258E-07    0.131E-07
    15.310     0.000    0.394E-07    0.184E-07
    15.890     0.000    0.441E-07    0.169E-07
    16.230     0.000    0.534E-07    0.160E-07
    16.410     0.000    0.119E-06    0.140E-07
    16.710     0.000    0.135E-06    0.171E-07
    17.000     0.000    0.587E-07    0.135E-07
    17.300     0.000    0.105E-06    0.165E-07
    17.600     0.000    0.646E-07    0.172E-07
    17.700     0.000    0.154E-06    0.172E-07
    18.120     0.000    0.149E-06    0.173E-07
    18.440     0.000    0.913E-07    0.157E-07
    18.750     0.000    0.925E-07    0.176E-07
    19.000     0.000    0.126E-06    0.189E-07
    19.370     0.000    0.193E-06    0.115E-07
    19.580     0.000    0.173E-06    0.156E-07
    20.000     0.000    0.169E-06    0.105E-07
    20.200     0.000    0.136E-06    0.121E-07
    20.620     0.000    0.135E-06    0.133E-07
    20.830     0.000    0.103E-06    0.983E-08
    21.130     0.000    0.101E-06    0.125E-07
    21.460     0.000    0.105E-06    0.116E-07
    21.670     0.000    0.488E-07    0.124E-07
    22.000     0.000    0.698E-07    0.107E-07
    22.290     0.000    0.747E-07    0.110E-07
    22.600     0.000    0.699E-07    0.112E-07
    22.960     0.000    0.582E-07    0.113E-07
    23.320     0.000    0.111E-06    0.100E-07
    23.650     0.000    0.917E-07    0.139E-07
    23.960     0.000    0.489E-07    0.146E-07
    24.170     0.000    0.955E-07    0.147E-07
    24.580     0.000    0.561E-07    0.157E-07
    24.790     0.000    0.402E-07    0.154E-07
