# fe1_exp_019_nat_photoneut_1974Ve1.dat                  
#
# Z = 19, A =  0
# No. of entries:   95
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1974Ve1  A.Veyssiere, H.Beil, R.Bergere, et al.,; Nucl. Phys. A227, 513(1974).                                                                        
#    E         dE       f1           df1
    13.210     0.000    0.328E-07    0.328E-07
    13.340     0.000    0.325E-07    0.325E-07
    13.480     0.000    0.515E-07    0.322E-07
    13.610     0.000    0.637E-08    0.319E-07
    13.750     0.000    0.568E-07    0.315E-07
    13.880     0.000    0.625E-08    0.312E-07
    14.020     0.000    0.247E-07    0.309E-07
    14.150     0.000    0.306E-07    0.306E-07
    14.290     0.000    0.668E-07    0.303E-07
    14.420     0.000    0.301E-07    0.301E-07
    14.560     0.000    0.477E-07    0.298E-07
    14.700     0.000    0.590E-07    0.295E-07
    14.830     0.000    0.105E-06    0.292E-07
    14.970     0.000    0.110E-06    0.290E-07
    15.100     0.000    0.747E-07    0.287E-07
    15.240     0.000    0.854E-07    0.285E-07
    15.370     0.000    0.107E-06    0.282E-07
    15.510     0.000    0.134E-06    0.280E-07
    15.640     0.000    0.144E-06    0.277E-07
    15.780     0.000    0.154E-06    0.275E-07
    15.920     0.000    0.153E-06    0.272E-07
    16.050     0.000    0.173E-06    0.270E-07
    16.190     0.000    0.166E-06    0.268E-07
    16.320     0.000    0.218E-06    0.266E-07
    16.460     0.000    0.248E-06    0.263E-07
    16.590     0.000    0.272E-06    0.261E-07
    16.730     0.000    0.275E-06    0.259E-07
    16.860     0.000    0.304E-06    0.257E-07
    17.000     0.000    0.393E-06    0.255E-07
    17.130     0.000    0.441E-06    0.253E-07
    17.270     0.000    0.472E-06    0.251E-07
    17.410     0.000    0.473E-06    0.249E-07
    17.540     0.000    0.504E-06    0.247E-07
    17.680     0.000    0.549E-06    0.245E-07
    17.810     0.000    0.604E-06    0.244E-07
    17.950     0.000    0.662E-06    0.242E-07
    18.080     0.000    0.686E-06    0.240E-07
    18.220     0.000    0.705E-06    0.238E-07
    18.350     0.000    0.761E-06    0.236E-07
    18.490     0.000    0.755E-06    0.235E-07
    18.630     0.000    0.796E-06    0.233E-07
    18.760     0.000    0.800E-06    0.231E-07
    18.900     0.000    0.789E-06    0.229E-07
    19.030     0.000    0.766E-06    0.228E-07
    19.170     0.000    0.805E-06    0.226E-07
    19.300     0.000    0.809E-06    0.225E-07
    19.440     0.000    0.785E-06    0.223E-07
    19.570     0.000    0.838E-06    0.222E-07
    19.710     0.000    0.871E-06    0.220E-07
    19.850     0.000    0.900E-06    0.218E-07
    19.980     0.000    0.903E-06    0.217E-07
    20.120     0.000    0.914E-06    0.259E-07
    20.250     0.000    0.908E-06    0.257E-07
    20.390     0.000    0.953E-06    0.255E-07
    20.520     0.000    0.972E-06    0.254E-07
    20.660     0.000    0.966E-06    0.252E-07
    20.790     0.000    0.972E-06    0.250E-07
    20.930     0.000    0.101E-05    0.249E-07
    21.060     0.000    0.100E-05    0.247E-07
    21.200     0.000    0.978E-06    0.245E-07
    21.340     0.000    0.963E-06    0.244E-07
    21.470     0.000    0.937E-06    0.242E-07
    21.610     0.000    0.907E-06    0.241E-07
    21.740     0.000    0.902E-06    0.239E-07
    21.880     0.000    0.825E-06    0.238E-07
    22.010     0.000    0.835E-06    0.236E-07
    22.150     0.000    0.850E-06    0.235E-07
    22.280     0.000    0.825E-06    0.234E-07
    22.420     0.000    0.805E-06    0.232E-07
    22.550     0.000    0.789E-06    0.231E-07
    22.690     0.000    0.768E-06    0.229E-07
    22.830     0.000    0.718E-06    0.228E-07
    22.960     0.000    0.725E-06    0.227E-07
    23.230     0.000    0.680E-06    0.224E-07
    23.500     0.000    0.631E-06    0.221E-07
    23.770     0.000    0.598E-06    0.219E-07
    24.050     0.000    0.516E-06    0.216E-07
    24.320     0.000    0.496E-06    0.214E-07
    24.590     0.000    0.483E-06    0.212E-07
    24.860     0.000    0.464E-06    0.209E-07
    25.130     0.000    0.442E-06    0.207E-07
    25.400     0.000    0.444E-06    0.205E-07
    25.670     0.000    0.402E-06    0.203E-07
    25.940     0.000    0.398E-06    0.201E-07
    26.210     0.000    0.341E-06    0.199E-07
    26.480     0.000    0.373E-06    0.197E-07
    26.760     0.000    0.337E-06    0.194E-07
    27.030     0.000    0.321E-06    0.193E-07
    27.300     0.000    0.330E-06    0.191E-07
    27.570     0.000    0.311E-06    0.189E-07
    27.840     0.000    0.312E-06    0.187E-07
    28.110     0.000    0.318E-06    0.185E-07
    28.380     0.000    0.263E-06    0.183E-07
    28.650     0.000    0.272E-06    0.182E-07
    28.920     0.000    0.279E-06    0.180E-07
