# fe1_exp_020_040_photoabs_2003Ero.dat                   
#
# Z = 20, A = 40
# No. of entries:   80
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Ero  V.A.Erokhova, al.,; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 1479(2003); (Bull.Rus.Acad.Sci.Phys. 67, 1636 (2003)).                               
#    E         dE       f1           df1
    15.800     0.000    0.106E-06    0.000E+00
    16.000     0.000    0.943E-07    0.000E+00
    16.200     0.000    0.121E-06    0.000E+00
    16.400     0.000    0.105E-06    0.000E+00
    16.600     0.000    0.758E-07    0.000E+00
    16.800     0.000    0.976E-07    0.000E+00
    17.000     0.000    0.151E-06    0.000E+00
    17.200     0.000    0.166E-06    0.000E+00
    17.400     0.000    0.181E-06    0.000E+00
    17.600     0.000    0.190E-06    0.000E+00
    17.800     0.000    0.211E-06    0.000E+00
    18.000     0.000    0.252E-06    0.000E+00
    18.200     0.000    0.295E-06    0.000E+00
    18.400     0.000    0.270E-06    0.000E+00
    18.600     0.000    0.335E-06    0.000E+00
    18.800     0.000    0.385E-06    0.000E+00
    19.000     0.000    0.377E-06    0.000E+00
    19.200     0.000    0.401E-06    0.000E+00
    19.400     0.000    0.400E-06    0.000E+00
    19.600     0.000    0.423E-06    0.000E+00
    19.800     0.000    0.414E-06    0.000E+00
    20.000     0.000    0.389E-06    0.000E+00
    20.200     0.000    0.380E-06    0.000E+00
    20.400     0.000    0.352E-06    0.000E+00
    20.600     0.000    0.352E-06    0.000E+00
    20.800     0.000    0.332E-06    0.000E+00
    21.000     0.000    0.328E-06    0.000E+00
    21.200     0.000    0.306E-06    0.000E+00
    21.400     0.000    0.283E-06    0.000E+00
    21.600     0.000    0.287E-06    0.000E+00
    21.800     0.000    0.253E-06    0.000E+00
    22.000     0.000    0.233E-06    0.000E+00
    22.200     0.000    0.228E-06    0.000E+00
    22.400     0.000    0.202E-06    0.000E+00
    22.600     0.000    0.176E-06    0.000E+00
    22.800     0.000    0.184E-06    0.000E+00
    23.000     0.000    0.164E-06    0.000E+00
    23.200     0.000    0.170E-06    0.000E+00
    23.400     0.000    0.140E-06    0.000E+00
    23.600     0.000    0.134E-06    0.000E+00
    23.800     0.000    0.126E-06    0.000E+00
    24.000     0.000    0.141E-06    0.000E+00
    24.200     0.000    0.116E-06    0.000E+00
    24.400     0.000    0.128E-06    0.000E+00
    24.600     0.000    0.133E-06    0.000E+00
    24.800     0.000    0.102E-06    0.000E+00
    25.000     0.000    0.971E-07    0.000E+00
    25.200     0.000    0.103E-06    0.000E+00
    25.400     0.000    0.117E-06    0.000E+00
    25.600     0.000    0.986E-07    0.000E+00
    25.800     0.000    0.908E-07    0.000E+00
    26.000     0.000    0.951E-07    0.000E+00
    26.200     0.000    0.811E-07    0.000E+00
    26.400     0.000    0.841E-07    0.000E+00
    26.600     0.000    0.874E-07    0.000E+00
    26.800     0.000    0.654E-07    0.000E+00
    27.000     0.000    0.784E-07    0.000E+00
    27.200     0.000    0.781E-07    0.000E+00
    27.400     0.000    0.668E-07    0.000E+00
    27.600     0.000    0.814E-07    0.000E+00
    27.800     0.000    0.814E-07    0.000E+00
    28.000     0.000    0.778E-07    0.000E+00
    28.200     0.000    0.830E-07    0.000E+00
    28.400     0.000    0.440E-07    0.000E+00
    28.600     0.000    0.570E-07    0.000E+00
    28.800     0.000    0.596E-07    0.000E+00
    29.000     0.000    0.610E-07    0.000E+00
    29.200     0.000    0.508E-07    0.000E+00
    29.400     0.000    0.416E-07    0.000E+00
    29.600     0.000    0.475E-07    0.000E+00
    29.800     0.000    0.512E-07    0.000E+00
    30.000     0.000    0.428E-07    0.000E+00
    30.200     0.000    0.669E-07    0.000E+00
    30.400     0.000    0.571E-07    0.000E+00
    30.600     0.000    0.391E-07    0.000E+00
    30.800     0.000    0.608E-07    0.000E+00
    31.000     0.000    0.403E-07    0.000E+00
    31.200     0.000    0.195E-07    0.000E+00
    31.400     0.000    0.384E-07    0.000E+00
    31.600     0.000    0.431E-07    0.000E+00
