# fe1_exp_020_048_photoabs_1987OKe.dat                   
#
# Z = 20, A = 48
# No. of entries:   34
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1987OKe  G.J.O'Keefe, M.N.Thompson, Y.I.Assafiri, R.E.Pywel; Nucl. Phys. A469, 239(1987).                                                            
#    E         dE       f1           df1
    10.810     0.000    0.396E-07    0.180E-07
    11.280     0.000    0.397E-07    0.155E-07
    11.780     0.000    0.537E-07    0.157E-07
    12.270     0.000    0.104E-06    0.182E-07
    12.500     0.000    0.840E-07    0.109E-07
    13.010     0.000    0.613E-07    0.195E-07
    13.570     0.000    0.812E-07    0.194E-07
    14.060     0.000    0.148E-06    0.263E-07
    14.560     0.000    0.125E-06    0.227E-07
    15.100     0.000    0.161E-06    0.232E-07
    15.630     0.000    0.228E-06    0.249E-07
    16.120     0.000    0.244E-06    0.265E-07
    16.620     0.000    0.216E-06    0.386E-07
    17.230     0.000    0.329E-06    0.339E-07
    17.460     0.000    0.328E-06    0.262E-07
    17.940     0.000    0.360E-06    0.287E-07
    18.450     0.000    0.423E-06    0.316E-07
    18.990     0.000    0.489E-06    0.328E-07
    19.220     0.000    0.492E-06    0.263E-07
    19.680     0.000    0.476E-06    0.297E-07
    20.180     0.000    0.403E-06    0.347E-07
    20.660     0.000    0.382E-06    0.391E-07
    20.880     0.000    0.364E-06    0.340E-07
    21.360     0.000    0.352E-06    0.401E-07
    21.590     0.000    0.383E-06    0.365E-07
    22.040     0.000    0.273E-06    0.449E-07
    22.230     0.000    0.224E-06    0.406E-07
    22.770     0.000    0.325E-06    0.453E-07
    22.990     0.000    0.275E-06    0.419E-07
    23.430     0.000    0.245E-06    0.459E-07
    23.630     0.000    0.186E-06    0.448E-07
    24.110     0.000    0.199E-06    0.493E-07
    24.570     0.000    0.139E-06    0.537E-07
    25.110     0.000    0.169E-06    0.584E-07
