# fe1_exp_020_nat_photoabs_1968Bez.dat                   
#
# Z = 20, A =  0
# No. of entries:   89
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1968Bez  N.Bezic, D.Jamnik, G.Kernel, J.Krajnik, J.Snajde; Nucl.Phys. A117, 124(1968).                                                               
#    E         dE       f1           df1
    15.924     0.000    0.605E-07    0.289E-07
    16.000     0.000    0.118E-06    0.153E-07
    16.275     0.000    0.799E-07    0.153E-07
    16.353     0.000    0.965E-07    0.256E-07
    16.500     0.000    0.132E-06    0.139E-07
    16.640     0.000    0.127E-06    0.255E-07
    16.700     0.000    0.140E-06    0.116E-07
    16.850     0.000    0.114E-06    0.154E-07
    16.928     0.000    0.138E-06    0.224E-07
    17.070     0.000    0.153E-06    0.226E-07
    17.220     0.000    0.152E-06    0.151E-07
    17.360     0.000    0.206E-06    0.200E-07
    17.432     0.000    0.212E-06    0.132E-07
    17.650     0.000    0.209E-06    0.143E-07
    17.790     0.000    0.224E-06    0.229E-07
    17.867     0.000    0.239E-06    0.150E-07
    17.940     0.000    0.263E-06    0.155E-07
    18.000     0.000    0.346E-06    0.179E-07
    18.100     0.000    0.285E-06    0.170E-07
    18.295     0.000    0.336E-06    0.277E-07
    18.370     0.000    0.399E-06    0.146E-07
    18.466     0.000    0.404E-06    0.272E-07
    18.682     0.000    0.353E-06    0.149E-07
    18.900     0.000    0.394E-06    0.180E-07
    19.086     0.000    0.394E-06    0.146E-07
    19.230     0.000    0.375E-06    0.160E-07
    19.374     0.000    0.396E-06    0.140E-07
    19.518     0.000    0.352E-06    0.194E-07
    19.734     0.000    0.411E-06    0.164E-07
    19.970     0.000    0.355E-06    0.158E-07
    20.022     0.000    0.360E-06    0.153E-07
    20.224     0.000    0.333E-06    0.129E-07
    20.310     0.000    0.312E-06    0.141E-07
    20.425     0.000    0.312E-06    0.186E-07
    20.525     0.000    0.275E-06    0.113E-07
    20.739     0.000    0.276E-06    0.120E-07
    21.140     0.000    0.258E-06    0.109E-07
    21.238     0.000    0.228E-06    0.127E-07
    21.390     0.000    0.228E-06    0.215E-07
    21.600     0.000    0.208E-06    0.128E-07
    21.860     0.000    0.183E-06    0.107E-07
    21.970     0.000    0.168E-06    0.175E-07
    22.140     0.000    0.168E-06    0.122E-07
    22.210     0.000    0.183E-06    0.136E-07
    22.250     0.000    0.168E-06    0.117E-07
    22.560     0.000    0.145E-06    0.151E-07
    22.683     0.000    0.165E-06    0.103E-07
    22.930     0.000    0.141E-06    0.112E-07
    23.058     0.000    0.141E-06    0.132E-07
    23.259     0.000    0.112E-06    0.865E-08
    23.430     0.000    0.885E-07    0.111E-07
    23.547     0.000    0.124E-06    0.147E-07
    23.690     0.000    0.108E-06    0.105E-07
    23.960     0.000    0.113E-06    0.107E-07
    24.094     0.000    0.958E-07    0.144E-07
    24.266     0.000    0.111E-06    0.189E-07
    24.410     0.000    0.839E-07    0.107E-07
    24.555     0.000    0.777E-07    0.858E-08
    24.770     0.000    0.851E-07    0.109E-07
    24.970     0.000    0.837E-07    0.955E-08
    25.000     0.000    0.683E-07    0.833E-08
    25.080     0.000    0.750E-07    0.138E-07
    25.145     0.000    0.869E-07    0.122E-07
    25.420     0.000    0.703E-07    0.921E-08
    25.560     0.000    0.478E-07    0.136E-07
    25.750     0.000    0.728E-07    0.792E-08
    26.000     0.000    0.767E-07    0.116E-07
    26.012     0.000    0.590E-07    0.654E-08
    26.180     0.000    0.606E-07    0.108E-07
    26.424     0.000    0.643E-07    0.114E-07
    26.568     0.000    0.519E-07    0.780E-08
    26.712     0.000    0.552E-07    0.919E-08
    27.000     0.000    0.575E-07    0.948E-08
    27.144     0.000    0.495E-07    0.709E-08
    27.288     0.000    0.585E-07    0.155E-07
    27.500     0.000    0.621E-07    0.126E-07
    27.790     0.000    0.552E-07    0.677E-08
    28.000     0.000    0.424E-07    0.682E-08
    28.295     0.000    0.408E-07    0.135E-07
    28.600     0.000    0.470E-07    0.127E-07
    28.800     0.000    0.614E-07    0.151E-07
    29.000     0.000    0.517E-07    0.150E-07
    29.090     0.000    0.211E-07    0.153E-07
    29.158     0.000    0.381E-07    0.131E-07
    29.374     0.000    0.328E-07    0.170E-07
    29.500     0.000    0.482E-07    0.153E-07
    29.666     0.000    0.465E-07    0.140E-07
    30.310     0.000    0.203E-07    0.167E-07
    30.670     0.000    0.236E-07    0.152E-07
