# fe1_exp_020_nat_photoabs_1972Ahr.dat                   
#
# Z = 20, A =  0
# No. of entries:   80
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972Ahr  J.Ahrens, H.Borchert, H.B.Eppler, H.Gimm, H.Gundrum; Conf.Nucl.Structure Studies, Sendai, Japan,  213, (1972).                              
#    E         dE       f1           df1
    15.800     0.000    0.889E-07    0.115E-07
    16.000     0.000    0.104E-06    0.100E-07
    16.200     0.000    0.117E-06    0.137E-07
    16.400     0.000    0.116E-06    0.978E-08
    16.600     0.000    0.138E-06    0.109E-07
    16.800     0.000    0.140E-06    0.132E-07
    17.000     0.000    0.155E-06    0.154E-07
    17.200     0.000    0.168E-06    0.188E-07
    17.400     0.000    0.178E-06    0.104E-07
    17.600     0.000    0.210E-06    0.103E-07
    17.800     0.000    0.218E-06    0.170E-07
    18.000     0.000    0.266E-06    0.123E-07
    18.300     0.000    0.296E-06    0.165E-07
    18.400     0.000    0.334E-06    0.109E-07
    18.700     0.000    0.347E-06    0.151E-07
    18.800     0.000    0.385E-06    0.128E-07
    19.000     0.000    0.388E-06    0.170E-07
    19.200     0.000    0.397E-06    0.944E-08
    19.400     0.000    0.403E-06    0.145E-07
    19.600     0.000    0.413E-06    0.123E-07
    19.900     0.000    0.405E-06    0.121E-07
    20.000     0.000    0.384E-06    0.111E-07
    20.200     0.000    0.370E-06    0.120E-07
    20.400     0.000    0.332E-06    0.128E-07
    20.600     0.000    0.331E-06    0.117E-07
    20.900     0.000    0.345E-06    0.106E-07
    21.000     0.000    0.317E-06    0.115E-07
    21.300     0.000    0.288E-06    0.123E-07
    21.400     0.000    0.261E-06    0.940E-08
    21.600     0.000    0.261E-06    0.131E-07
    21.800     0.000    0.248E-06    0.120E-07
    22.000     0.000    0.235E-06    0.101E-07
    22.200     0.000    0.204E-06    0.996E-08
    22.400     0.000    0.192E-06    0.117E-07
    22.600     0.000    0.184E-06    0.979E-08
    22.800     0.000    0.160E-06    0.124E-07
    23.000     0.000    0.167E-06    0.114E-07
    23.200     0.000    0.147E-06    0.104E-07
    23.400     0.000    0.137E-06    0.112E-07
    23.600     0.000    0.128E-06    0.137E-07
    24.000     0.000    0.137E-06    0.755E-08
    24.200     0.000    0.110E-06    0.832E-08
    24.400     0.000    0.129E-06    0.825E-08
    24.600     0.000    0.109E-06    0.899E-08
    24.700     0.000    0.104E-06    0.114E-07
    25.000     0.000    0.951E-07    0.965E-08
    25.200     0.000    0.998E-07    0.878E-08
    25.400     0.000    0.113E-06    0.792E-08
    25.600     0.000    0.911E-07    0.942E-08
    25.800     0.000    0.874E-07    0.133E-07
    26.000     0.000    0.837E-07    0.124E-07
    26.200     0.000    0.732E-07    0.844E-08
    26.400     0.000    0.894E-07    0.838E-08
    26.600     0.000    0.574E-07    0.757E-08
    26.800     0.000    0.738E-07    0.105E-07
    27.000     0.000    0.745E-07    0.671E-08
    27.200     0.000    0.622E-07    0.963E-08
    27.400     0.000    0.760E-07    0.807E-08
    27.600     0.000    0.805E-07    0.109E-07
    27.800     0.000    0.827E-07    0.147E-08
    28.000     0.000    0.836E-07    0.861E-08
    28.100     0.000    0.367E-07    0.122E-07
    28.400     0.000    0.357E-07    0.849E-08
    28.600     0.000    0.622E-07    0.141E-07
    28.800     0.000    0.539E-07    0.126E-07
    29.000     0.000    0.538E-07    0.125E-07
    29.100     0.000    0.313E-07    0.152E-07
    29.400     0.000    0.496E-07    0.110E-07
    29.600     0.000    0.539E-07    0.136E-07
    29.700     0.000    0.429E-07    0.129E-07
    30.000     0.000    0.561E-07    0.128E-07
    30.200     0.000    0.416E-07    0.160E-07
    30.400     0.000    0.573E-07    0.152E-07
    30.500     0.000    0.472E-07    0.119E-07
    30.800     0.000    0.462E-07    0.150E-07
    31.000     0.000    0.264E-07    0.137E-07
    31.200     0.000    0.211E-07    0.162E-07
    31.400     0.000    0.401E-07    0.115E-07
    31.600     0.000    0.368E-07    0.115E-07
    31.700     0.000    0.728E-07    0.153E-07
