# fe1_exp_020_nat_photoabs_1975Ahr.dat                   
#
# Z = 20, A =  0
# No. of entries:   80
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Ahr  J.Ahrens, H.Borchert, K.H.Czock, et al.,; Nucl. Phys. A251, 479(1975).                                                                      
#    E         dE       f1           df1
    15.740     0.000    0.105E-06    0.827E-08
    15.850     0.000    0.887E-07    0.876E-08
    15.950     0.000    0.957E-07    0.816E-08
    16.120     0.000    0.103E-06    0.861E-08
    16.190     0.000    0.107E-06    0.804E-08
    16.330     0.000    0.106E-06    0.138E-07
    16.530     0.000    0.103E-06    0.945E-08
    16.700     0.000    0.136E-06    0.125E-07
    16.840     0.000    0.135E-06    0.124E-07
    16.940     0.000    0.134E-06    0.123E-07
    17.000     0.000    0.153E-06    0.133E-07
    17.280     0.000    0.157E-06    0.131E-07
    17.420     0.000    0.195E-06    0.129E-07
    17.620     0.000    0.172E-06    0.123E-07
    17.760     0.000    0.217E-06    0.171E-07
    17.860     0.000    0.200E-06    0.126E-07
    17.920     0.000    0.228E-06    0.126E-07
    18.240     0.000    0.275E-06    0.152E-07
    18.470     0.000    0.290E-06    0.141E-07
    18.610     0.000    0.289E-06    0.233E-07
    18.720     0.000    0.326E-06    0.130E-07
    18.820     0.000    0.328E-06    0.147E-07
    18.920     0.000    0.386E-06    0.133E-07
    19.060     0.000    0.396E-06    0.146E-07
    19.260     0.000    0.397E-06    0.135E-07
    19.500     0.000    0.406E-06    0.129E-07
    19.770     0.000    0.426E-06    0.136E-07
    19.940     0.000    0.418E-06    0.130E-07
    20.200     0.000    0.412E-06    0.129E-07
    20.350     0.000    0.390E-06    0.136E-07
    20.450     0.000    0.402E-06    0.136E-07
    20.530     0.000    0.373E-06    0.127E-07
    20.660     0.000    0.331E-06    0.185E-07
    20.800     0.000    0.357E-06    0.100E-07
    20.970     0.000    0.328E-06    0.145E-07
    21.140     0.000    0.352E-06    0.985E-08
    21.200     0.000    0.313E-06    0.119E-07
    21.340     0.000    0.310E-06    0.122E-07
    21.550     0.000    0.311E-06    0.121E-07
    21.650     0.000    0.273E-06    0.116E-07
    21.780     0.000    0.284E-06    0.151E-07
    21.880     0.000    0.256E-06    0.139E-07
    21.960     0.000    0.251E-06    0.150E-07
    22.120     0.000    0.242E-06    0.122E-07
    22.230     0.000    0.218E-06    0.117E-07
    22.360     0.000    0.215E-06    0.147E-07
    22.460     0.000    0.227E-06    0.112E-07
    22.760     0.000    0.192E-06    0.111E-07
    22.830     0.000    0.171E-06    0.179E-07
    22.960     0.000    0.163E-06    0.793E-08
    23.130     0.000    0.180E-06    0.116E-07
    23.330     0.000    0.153E-06    0.104E-07
    23.490     0.000    0.147E-06    0.775E-08
    23.660     0.000    0.126E-06    0.807E-08
    24.030     0.000    0.134E-06    0.794E-08
    24.270     0.000    0.109E-06    0.751E-08
    24.550     0.000    0.131E-06    0.742E-08
    24.890     0.000    0.110E-06    0.732E-08
    25.070     0.000    0.976E-07    0.692E-08
    25.360     0.000    0.985E-07    0.684E-08
    25.640     0.000    0.100E-06    0.812E-08
    25.870     0.000    0.758E-07    0.872E-08
    26.110     0.000    0.880E-07    0.830E-08
    26.350     0.000    0.783E-07    0.823E-08
    26.760     0.000    0.878E-07    0.713E-08
    27.140     0.000    0.610E-07    0.831E-08
    27.240     0.000    0.825E-07    0.732E-08
    27.340     0.000    0.625E-07    0.666E-08
    27.680     0.000    0.736E-07    0.627E-08
    27.950     0.000    0.785E-07    0.869E-08
    28.300     0.000    0.812E-07    0.797E-08
    28.470     0.000    0.393E-07    0.792E-08
    28.740     0.000    0.631E-07    0.754E-08
    29.000     0.000    0.622E-07    0.748E-08
    29.320     0.000    0.390E-07    0.858E-08
    29.660     0.000    0.515E-07    0.819E-08
    30.000     0.000    0.486E-07    0.867E-08
    30.140     0.000    0.636E-07    0.863E-08
    30.440     0.000    0.544E-07    0.855E-08
    30.820     0.000    0.495E-07    0.844E-08
