# fe1_exp_022_048_photabs_2002Ish.dat                    
#
# Z = 22, A = 48
# No. of entries:   38
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(2002).                 
#    E         dE       f1           df1
    12.000     0.000    0.289E-07    0.000E+00
    12.500     0.000    0.486E-07    0.000E+00
    13.000     0.000    0.667E-07    0.000E+00
    13.500     0.000    0.771E-07    0.000E+00
    14.000     0.000    0.991E-07    0.000E+00
    14.500     0.000    0.108E-06    0.000E+00
    15.000     0.000    0.121E-06    0.000E+00
    15.500     0.000    0.157E-06    0.000E+00
    16.200     0.000    0.286E-06    0.000E+00
    16.800     0.000    0.227E-06    0.000E+00
    17.000     0.000    0.235E-06    0.000E+00
    17.600     0.000    0.303E-06    0.000E+00
    18.000     0.000    0.282E-06    0.000E+00
    18.800     0.000    0.231E-06    0.000E+00
    19.000     0.000    0.256E-06    0.000E+00
    19.500     0.000    0.285E-06    0.000E+00
    20.000     0.000    0.297E-06    0.000E+00
    20.500     0.000    0.286E-06    0.000E+00
    21.000     0.000    0.258E-06    0.000E+00
    21.500     0.000    0.218E-06    0.000E+00
    22.000     0.000    0.195E-06    0.000E+00
    22.500     0.000    0.185E-06    0.000E+00
    23.000     0.000    0.185E-06    0.000E+00
    23.500     0.000    0.179E-06    0.000E+00
    24.000     0.000    0.168E-06    0.000E+00
    24.500     0.000    0.152E-06    0.000E+00
    25.000     0.000    0.139E-06    0.000E+00
    25.500     0.000    0.128E-06    0.000E+00
    26.000     0.000    0.117E-06    0.000E+00
    26.500     0.000    0.108E-06    0.000E+00
    27.000     0.000    0.996E-07    0.000E+00
    27.500     0.000    0.930E-07    0.000E+00
    28.000     0.000    0.867E-07    0.000E+00
    28.500     0.000    0.807E-07    0.000E+00
    29.000     0.000    0.763E-07    0.000E+00
    29.500     0.000    0.706E-07    0.000E+00
    30.000     0.000    0.665E-07    0.000E+00
    30.500     0.000    0.631E-07    0.000E+00
