# fe1_exp_023_051_photoneut_1962Fu1.dat                  
#
# Z = 23, A = 51
# No. of entries:   48
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1962Fu2  S.C.Fultz, R.L.Bramblett, J.T.Caldwell, N.A.Kerr; Phys. Rev., 127, 1273(1962).                                                              
#    E         dE       f1           df1
    11.460     0.000    0.236E-07    0.333E-08
    11.760     0.000    0.325E-07    0.420E-08
    12.060     0.000    0.427E-07    0.403E-08
    12.360     0.000    0.559E-07    0.540E-08
    12.660     0.000    0.593E-07    0.418E-08
    12.960     0.000    0.667E-07    0.576E-08
    13.260     0.000    0.706E-07    0.471E-08
    13.560     0.000    0.812E-07    0.665E-08
    13.860     0.000    0.851E-07    0.551E-08
    14.160     0.000    0.992E-07    0.637E-08
    14.460     0.000    0.984E-07    0.654E-08
    14.760     0.000    0.100E-06    0.611E-08
    15.060     0.000    0.174E-06    0.801E-08
    15.360     0.000    0.171E-06    0.785E-08
    15.660     0.000    0.172E-06    0.676E-08
    15.960     0.000    0.194E-06    0.793E-08
    16.260     0.000    0.221E-06    0.581E-08
    16.560     0.000    0.255E-06    0.482E-08
    16.860     0.000    0.278E-06    0.468E-08
    17.160     0.000    0.302E-06    0.475E-08
    17.460     0.000    0.320E-06    0.472E-08
    17.760     0.000    0.328E-06    0.464E-08
    18.060     0.000    0.329E-06    0.490E-08
    18.360     0.000    0.322E-06    0.515E-08
    18.660     0.000    0.304E-06    0.474E-08
    18.960     0.000    0.289E-06    0.453E-08
    19.260     0.000    0.272E-06    0.428E-08
    19.560     0.000    0.250E-06    0.430E-08
    19.860     0.000    0.239E-06    0.450E-08
    20.160     0.000    0.236E-06    0.460E-08
    20.460     0.000    0.231E-06    0.589E-08
    20.760     0.000    0.218E-06    0.660E-08
    21.060     0.000    0.203E-06    0.762E-08
    21.360     0.000    0.190E-06    0.897E-08
    21.660     0.000    0.179E-06    0.109E-07
    21.960     0.000    0.163E-06    0.119E-07
    22.260     0.000    0.147E-06    0.123E-07
    22.560     0.000    0.140E-06    0.127E-07
    22.860     0.000    0.132E-06    0.149E-07
    23.160     0.000    0.122E-06    0.132E-07
    23.460     0.000    0.117E-06    0.154E-07
    23.760     0.000    0.110E-06    0.159E-07
    24.060     0.000    0.995E-07    0.159E-07
    24.360     0.000    0.944E-07    0.150E-07
    24.660     0.000    0.915E-07    0.139E-07
    24.960     0.000    0.869E-07    0.161E-07
    25.260     0.000    0.779E-07    0.176E-07
    25.560     0.000    0.736E-07    0.170E-07
