# fe1_exp_024_052_photoabs_2002Ish.dat                   
#
# Z = 24, A = 52
# No. of entries:   61
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2002Ish  B.S.Ishkhanov, I.M.Kapitonov, E.I.Lileeva, et al.,; Moscow State Univ. Inst. of Nucl. Phys. Reports, No.2002, 27/711(2002).                 
#    E         dE       f1           df1
    12.700     0.000    0.341E-07    0.000E+00
    13.000     0.000    0.440E-07    0.000E+00
    13.300     0.000    0.522E-07    0.000E+00
    13.500     0.000    0.745E-07    0.000E+00
    13.800     0.000    0.817E-07    0.000E+00
    14.000     0.000    0.867E-07    0.000E+00
    14.300     0.000    0.910E-07    0.000E+00
    14.600     0.000    0.131E-06    0.000E+00
    14.800     0.000    0.141E-06    0.000E+00
    15.000     0.000    0.150E-06    0.000E+00
    15.300     0.000    0.153E-06    0.000E+00
    15.500     0.000    0.157E-06    0.000E+00
    15.800     0.000    0.192E-06    0.000E+00
    16.100     0.000    0.248E-06    0.000E+00
    16.300     0.000    0.223E-06    0.000E+00
    16.500     0.000    0.263E-06    0.000E+00
    16.600     0.000    0.303E-06    0.000E+00
    16.800     0.000    0.346E-06    0.000E+00
    17.300     0.000    0.306E-06    0.000E+00
    17.600     0.000    0.276E-06    0.000E+00
    17.900     0.000    0.363E-06    0.000E+00
    18.100     0.000    0.460E-06    0.000E+00
    18.300     0.000    0.431E-06    0.000E+00
    18.500     0.000    0.356E-06    0.000E+00
    18.800     0.000    0.258E-06    0.000E+00
    19.000     0.000    0.370E-06    0.000E+00
    19.200     0.000    0.398E-06    0.000E+00
    19.500     0.000    0.338E-06    0.000E+00
    19.800     0.000    0.280E-06    0.000E+00
    20.000     0.000    0.338E-06    0.000E+00
    20.200     0.000    0.382E-06    0.000E+00
    20.600     0.000    0.328E-06    0.000E+00
    20.800     0.000    0.329E-06    0.000E+00
    21.000     0.000    0.330E-06    0.000E+00
    21.300     0.000    0.273E-06    0.000E+00
    21.600     0.000    0.225E-06    0.000E+00
    21.800     0.000    0.239E-06    0.000E+00
    22.000     0.000    0.260E-06    0.000E+00
    22.200     0.000    0.270E-06    0.000E+00
    22.500     0.000    0.193E-06    0.000E+00
    22.800     0.000    0.951E-07    0.000E+00
    23.000     0.000    0.147E-06    0.000E+00
    23.200     0.000    0.172E-06    0.000E+00
    23.400     0.000    0.156E-06    0.000E+00
    23.600     0.000    0.132E-06    0.000E+00
    23.800     0.000    0.124E-06    0.000E+00
    24.200     0.000    0.136E-06    0.000E+00
    24.500     0.000    0.156E-06    0.000E+00
    24.700     0.000    0.158E-06    0.000E+00
    25.000     0.000    0.146E-06    0.000E+00
    25.400     0.000    0.140E-06    0.000E+00
    25.700     0.000    0.145E-06    0.000E+00
    25.900     0.000    0.151E-06    0.000E+00
    26.000     0.000    0.153E-06    0.000E+00
    26.200     0.000    0.152E-06    0.000E+00
    26.500     0.000    0.144E-06    0.000E+00
    26.800     0.000    0.123E-06    0.000E+00
    27.000     0.000    0.112E-06    0.000E+00
    27.200     0.000    0.105E-06    0.000E+00
    27.400     0.000    0.104E-06    0.000E+00
    27.600     0.000    0.110E-06    0.000E+00
