# fe1_exp_024_052_photoneut_1969Gor.dat                  
#
# Z = 24, A = 52
# No. of entries:   90
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Gor  B.I.Goryachev, et al.,; Izv.Akad.Nauk SSSR, Ser.Fiz. 33, 1736(1969); (Bull.Acad.Sci.USSR, Phys.Ser. 33, 1588(1970)).                        
#    E         dE       f1           df1
    12.625     0.000    0.412E-07    0.000E+00
    12.750     0.000    0.544E-07    0.000E+00
    12.875     0.000    0.478E-07    0.000E+00
    13.000     0.000    0.460E-07    0.000E+00
    13.125     0.000    0.661E-07    0.000E+00
    13.250     0.000    0.596E-07    0.000E+00
    13.375     0.000    0.649E-07    0.000E+00
    13.500     0.000    0.835E-07    0.000E+00
    13.625     0.000    0.879E-07    0.000E+00
    13.750     0.000    0.978E-07    0.000E+00
    13.875     0.000    0.119E-06    0.000E+00
    14.000     0.000    0.936E-07    0.000E+00
    14.125     0.000    0.983E-07    0.000E+00
    14.250     0.000    0.105E-06    0.000E+00
    14.375     0.000    0.996E-07    0.000E+00
    14.500     0.000    0.120E-06    0.000E+00
    14.625     0.000    0.148E-06    0.000E+00
    14.750     0.000    0.137E-06    0.000E+00
    14.875     0.000    0.155E-06    0.000E+00
    15.000     0.000    0.162E-06    0.000E+00
    15.125     0.000    0.154E-06    0.000E+00
    15.250     0.000    0.178E-06    0.000E+00
    15.375     0.000    0.170E-06    0.000E+00
    15.500     0.000    0.116E-06    0.000E+00
    15.625     0.000    0.161E-06    0.000E+00
    15.750     0.000    0.177E-06    0.000E+00
    15.875     0.000    0.223E-06    0.000E+00
    16.000     0.000    0.298E-06    0.000E+00
    16.125     0.000    0.256E-06    0.000E+00
    16.250     0.000    0.222E-06    0.000E+00
    16.375     0.000    0.260E-06    0.000E+00
    16.500     0.000    0.254E-06    0.000E+00
    16.625     0.000    0.318E-06    0.000E+00
    16.750     0.000    0.425E-06    0.000E+00
    16.875     0.000    0.357E-06    0.000E+00
    17.000     0.000    0.344E-06    0.000E+00
    17.125     0.000    0.385E-06    0.000E+00
    17.250     0.000    0.317E-06    0.000E+00
    17.375     0.000    0.357E-06    0.000E+00
    17.500     0.000    0.335E-06    0.000E+00
    17.625     0.000    0.281E-06    0.000E+00
    17.750     0.000    0.259E-06    0.000E+00
    17.875     0.000    0.275E-06    0.000E+00
    18.000     0.000    0.332E-06    0.000E+00
    18.125     0.000    0.450E-06    0.000E+00
    18.250     0.000    0.537E-06    0.000E+00
    18.375     0.000    0.467E-06    0.000E+00
    18.500     0.000    0.324E-06    0.000E+00
    18.625     0.000    0.333E-06    0.000E+00
    18.750     0.000    0.199E-06    0.000E+00
    18.875     0.000    0.267E-06    0.000E+00
    19.000     0.000    0.323E-06    0.000E+00
    19.125     0.000    0.338E-06    0.000E+00
    19.250     0.000    0.469E-06    0.000E+00
    19.375     0.000    0.407E-06    0.000E+00
    19.500     0.000    0.360E-06    0.000E+00
    19.625     0.000    0.309E-06    0.000E+00
    19.750     0.000    0.211E-06    0.000E+00
    19.875     0.000    0.238E-06    0.000E+00
    20.000     0.000    0.314E-06    0.000E+00
    20.125     0.000    0.315E-06    0.000E+00
    20.250     0.000    0.351E-06    0.000E+00
    20.375     0.000    0.315E-06    0.000E+00
    20.500     0.000    0.237E-06    0.000E+00
    20.625     0.000    0.269E-06    0.000E+00
    20.750     0.000    0.280E-06    0.000E+00
    20.875     0.000    0.361E-06    0.000E+00
    21.000     0.000    0.314E-06    0.000E+00
    21.125     0.000    0.296E-06    0.000E+00
    21.250     0.000    0.298E-06    0.000E+00
    21.375     0.000    0.185E-06    0.000E+00
    21.500     0.000    0.194E-06    0.000E+00
    21.625     0.000    0.189E-06    0.000E+00
    21.750     0.000    0.183E-06    0.000E+00
    21.875     0.000    0.190E-06    0.000E+00
    22.000     0.000    0.196E-06    0.000E+00
    22.125     0.000    0.195E-06    0.000E+00
    22.500     0.000    0.114E-06    0.000E+00
    22.750     0.000    0.454E-07    0.000E+00
    23.000     0.000    0.528E-07    0.000E+00
    23.250     0.000    0.701E-07    0.000E+00
    23.500     0.000    0.616E-07    0.000E+00
    23.750     0.000    0.471E-07    0.000E+00
    24.000     0.000    0.408E-07    0.000E+00
    24.250     0.000    0.346E-07    0.000E+00
    24.500     0.000    0.266E-07    0.000E+00
    24.750     0.000    0.188E-07    0.000E+00
    25.000     0.000    0.130E-07    0.000E+00
    25.250     0.000    0.739E-08    0.000E+00
    25.375     0.000    0.185E-08    0.000E+00
