# fe1_exp_025_055_photoneut_1970Is1.dat                  
#
# Z = 25, A = 55
# No. of entries:  191
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1970Is1  B.S.Ishkhanov, al.,; Izv.Akad.Nauk SSSR, Ser.Fiz. 34, 2228 (1970); (Bull.Acad.Sci. USSR, Phys.Ser. 34, 1988(1971)).                         
#    E         dE       f1           df1
    10.300     0.000    0.314E-07    0.000E+00
    10.400     0.000    0.620E-07    0.000E+00
    10.500     0.000    0.616E-07    0.000E+00
    10.600     0.000    0.519E-07    0.000E+00
    10.700     0.000    0.302E-07    0.000E+00
    10.800     0.000    0.308E-07    0.000E+00
    10.900     0.000    0.395E-07    0.000E+00
    11.000     0.000    0.462E-07    0.000E+00
    11.100     0.000    0.454E-07    0.000E+00
    11.200     0.000    0.508E-07    0.000E+00
    11.300     0.000    0.694E-07    0.000E+00
    11.400     0.000    0.814E-07    0.000E+00
    11.500     0.000    0.598E-07    0.000E+00
    11.600     0.000    0.330E-07    0.000E+00
    11.700     0.000    0.474E-07    0.000E+00
    11.800     0.000    0.742E-07    0.000E+00
    11.900     0.000    0.904E-07    0.000E+00
    12.000     0.000    0.846E-07    0.000E+00
    12.100     0.000    0.686E-07    0.000E+00
    12.200     0.000    0.761E-07    0.000E+00
    12.300     0.000    0.867E-07    0.000E+00
    12.400     0.000    0.762E-07    0.000E+00
    12.500     0.000    0.630E-07    0.000E+00
    12.600     0.000    0.881E-07    0.000E+00
    12.700     0.000    0.106E-06    0.000E+00
    12.800     0.000    0.969E-07    0.000E+00
    12.900     0.000    0.122E-06    0.000E+00
    13.000     0.000    0.131E-06    0.000E+00
    13.100     0.000    0.103E-06    0.000E+00
    13.200     0.000    0.795E-07    0.000E+00
    13.300     0.000    0.991E-07    0.000E+00
    13.400     0.000    0.124E-06    0.000E+00
    13.500     0.000    0.150E-06    0.000E+00
    13.600     0.000    0.145E-06    0.000E+00
    13.700     0.000    0.140E-06    0.000E+00
    13.800     0.000    0.147E-06    0.000E+00
    13.900     0.000    0.166E-06    0.000E+00
    14.000     0.000    0.188E-06    0.000E+00
    14.100     0.000    0.203E-06    0.000E+00
    14.200     0.000    0.210E-06    0.000E+00
    14.300     0.000    0.220E-06    0.000E+00
    14.400     0.000    0.266E-06    0.000E+00
    14.500     0.000    0.255E-06    0.000E+00
    14.600     0.000    0.214E-06    0.000E+00
    14.700     0.000    0.170E-06    0.000E+00
    14.800     0.000    0.219E-06    0.000E+00
    14.900     0.000    0.278E-06    0.000E+00
    15.000     0.000    0.298E-06    0.000E+00
    15.100     0.000    0.291E-06    0.000E+00
    15.200     0.000    0.282E-06    0.000E+00
    15.300     0.000    0.289E-06    0.000E+00
    15.400     0.000    0.297E-06    0.000E+00
    15.500     0.000    0.318E-06    0.000E+00
    15.600     0.000    0.344E-06    0.000E+00
    15.700     0.000    0.356E-06    0.000E+00
    15.800     0.000    0.310E-06    0.000E+00
    15.900     0.000    0.253E-06    0.000E+00
    16.000     0.000    0.271E-06    0.000E+00
    16.100     0.000    0.356E-06    0.000E+00
    16.200     0.000    0.396E-06    0.000E+00
    16.300     0.000    0.385E-06    0.000E+00
    16.400     0.000    0.351E-06    0.000E+00
    16.500     0.000    0.345E-06    0.000E+00
    16.600     0.000    0.349E-06    0.000E+00
    16.700     0.000    0.331E-06    0.000E+00
    16.800     0.000    0.308E-06    0.000E+00
    16.900     0.000    0.298E-06    0.000E+00
    17.000     0.000    0.310E-06    0.000E+00
    17.100     0.000    0.319E-06    0.000E+00
    17.200     0.000    0.334E-06    0.000E+00
    17.300     0.000    0.333E-06    0.000E+00
    17.400     0.000    0.323E-06    0.000E+00
    17.500     0.000    0.330E-06    0.000E+00
    17.600     0.000    0.336E-06    0.000E+00
    17.700     0.000    0.326E-06    0.000E+00
    17.800     0.000    0.304E-06    0.000E+00
    17.900     0.000    0.284E-06    0.000E+00
    18.000     0.000    0.272E-06    0.000E+00
    18.100     0.000    0.263E-06    0.000E+00
    18.200     0.000    0.285E-06    0.000E+00
    18.300     0.000    0.321E-06    0.000E+00
    18.400     0.000    0.332E-06    0.000E+00
    18.500     0.000    0.337E-06    0.000E+00
    18.600     0.000    0.320E-06    0.000E+00
    18.700     0.000    0.284E-06    0.000E+00
    18.800     0.000    0.248E-06    0.000E+00
    18.900     0.000    0.250E-06    0.000E+00
    19.000     0.000    0.231E-06    0.000E+00
    19.100     0.000    0.252E-06    0.000E+00
    19.200     0.000    0.284E-06    0.000E+00
    19.300     0.000    0.300E-06    0.000E+00
    19.400     0.000    0.281E-06    0.000E+00
    19.500     0.000    0.267E-06    0.000E+00
    19.600     0.000    0.212E-06    0.000E+00
    19.700     0.000    0.199E-06    0.000E+00
    19.800     0.000    0.196E-06    0.000E+00
    19.900     0.000    0.202E-06    0.000E+00
    20.000     0.000    0.217E-06    0.000E+00
    20.100     0.000    0.237E-06    0.000E+00
    20.200     0.000    0.208E-06    0.000E+00
    20.300     0.000    0.187E-06    0.000E+00
    20.400     0.000    0.184E-06    0.000E+00
    20.500     0.000    0.178E-06    0.000E+00
    20.600     0.000    0.189E-06    0.000E+00
    20.700     0.000    0.215E-06    0.000E+00
    20.800     0.000    0.214E-06    0.000E+00
    20.900     0.000    0.200E-06    0.000E+00
    21.000     0.000    0.176E-06    0.000E+00
    21.100     0.000    0.132E-06    0.000E+00
    21.200     0.000    0.100E-06    0.000E+00
    21.300     0.000    0.141E-06    0.000E+00
    21.400     0.000    0.104E-06    0.000E+00
    21.500     0.000    0.119E-06    0.000E+00
    21.600     0.000    0.128E-06    0.000E+00
    21.700     0.000    0.136E-06    0.000E+00
    21.800     0.000    0.139E-06    0.000E+00
    21.900     0.000    0.118E-06    0.000E+00
    22.000     0.000    0.116E-06    0.000E+00
    22.100     0.000    0.104E-06    0.000E+00
    22.200     0.000    0.946E-07    0.000E+00
    22.300     0.000    0.840E-07    0.000E+00
    22.400     0.000    0.825E-07    0.000E+00
    22.500     0.000    0.844E-07    0.000E+00
    22.600     0.000    0.898E-07    0.000E+00
    22.700     0.000    0.844E-07    0.000E+00
    22.800     0.000    0.845E-07    0.000E+00
    22.900     0.000    0.848E-07    0.000E+00
    23.000     0.000    0.864E-07    0.000E+00
    23.100     0.000    0.897E-07    0.000E+00
    23.200     0.000    0.912E-07    0.000E+00
    23.400     0.000    0.949E-07    0.000E+00
    23.500     0.000    0.974E-07    0.000E+00
    23.500     0.000    0.100E-06    0.000E+00
    23.600     0.000    0.103E-06    0.000E+00
    23.700     0.000    0.104E-06    0.000E+00
    23.800     0.000    0.103E-06    0.000E+00
    23.900     0.000    0.101E-06    0.000E+00
    24.000     0.000    0.987E-07    0.000E+00
    24.100     0.000    0.975E-07    0.000E+00
    24.200     0.000    0.953E-07    0.000E+00
    24.300     0.000    0.932E-07    0.000E+00
    24.400     0.000    0.896E-07    0.000E+00
    24.500     0.000    0.857E-07    0.000E+00
    24.600     0.000    0.825E-07    0.000E+00
    24.700     0.000    0.801E-07    0.000E+00
    24.800     0.000    0.766E-07    0.000E+00
    24.900     0.000    0.742E-07    0.000E+00
    25.000     0.000    0.722E-07    0.000E+00
    25.100     0.000    0.698E-07    0.000E+00
    25.200     0.000    0.688E-07    0.000E+00
    25.300     0.000    0.662E-07    0.000E+00
    25.400     0.000    0.639E-07    0.000E+00
    25.500     0.000    0.599E-07    0.000E+00
    25.600     0.000    0.579E-07    0.000E+00
    25.700     0.000    0.540E-07    0.000E+00
    25.800     0.000    0.521E-07    0.000E+00
    25.900     0.000    0.509E-07    0.000E+00
    26.000     0.000    0.497E-07    0.000E+00
    26.100     0.000    0.479E-07    0.000E+00
    26.200     0.000    0.463E-07    0.000E+00
    26.300     0.000    0.449E-07    0.000E+00
    26.400     0.000    0.444E-07    0.000E+00
    26.500     0.000    0.435E-07    0.000E+00
    26.600     0.000    0.447E-07    0.000E+00
    26.700     0.000    0.465E-07    0.000E+00
    26.800     0.000    0.482E-07    0.000E+00
    26.900     0.000    0.487E-07    0.000E+00
    27.000     0.000    0.479E-07    0.000E+00
    27.100     0.000    0.426E-07    0.000E+00
    27.200     0.000    0.411E-07    0.000E+00
    27.300     0.000    0.416E-07    0.000E+00
    27.400     0.000    0.421E-07    0.000E+00
    27.500     0.000    0.413E-07    0.000E+00
    27.600     0.000    0.402E-07    0.000E+00
    27.700     0.000    0.382E-07    0.000E+00
    27.800     0.000    0.365E-07    0.000E+00
    27.900     0.000    0.361E-07    0.000E+00
    28.000     0.000    0.356E-07    0.000E+00
    28.100     0.000    0.355E-07    0.000E+00
    28.200     0.000    0.354E-07    0.000E+00
    28.300     0.000    0.343E-07    0.000E+00
    28.400     0.000    0.327E-07    0.000E+00
    28.500     0.000    0.276E-07    0.000E+00
    28.600     0.000    0.207E-07    0.000E+00
    28.700     0.000    0.177E-07    0.000E+00
    28.800     0.000    0.161E-07    0.000E+00
    28.900     0.000    0.153E-07    0.000E+00
    29.000     0.000    0.143E-07    0.000E+00
    29.100     0.000    0.111E-07    0.000E+00
    29.200     0.000    0.948E-08    0.000E+00
    29.300     0.000    0.790E-08    0.000E+00
