# fe1_exp_025_055_photoneut_1974Car.dat                  
#
# Z = 25, A = 55
# No. of entries:   63
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Car  R.Carchon, J.Devos, R.Van de Vyver, et al.,; Nucl.Phys. A223, 416(1974).                                                                    
#    E         dE       f1           df1
    10.424     0.000    0.130E-07    0.000E+00
    10.529     0.000    0.245E-07    0.000E+00
    10.635     0.000    0.286E-07    0.000E+00
    10.713     0.000    0.237E-07    0.000E+00
    10.847     0.000    0.280E-07    0.000E+00
    10.918     0.000    0.248E-07    0.000E+00
    11.024     0.000    0.275E-07    0.000E+00
    11.129     0.000    0.328E-07    0.546E-08
    11.270     0.000    0.546E-07    0.108E-07
    11.446     0.000    0.399E-07    0.106E-07
    11.553     0.000    0.426E-07    0.111E-07
    11.689     0.000    0.421E-07    0.116E-07
    11.800     0.000    0.309E-07    0.113E-07
    11.941     0.000    0.407E-07    0.937E-08
    12.082     0.000    0.454E-07    0.111E-07
    12.224     0.000    0.597E-07    0.150E-07
    12.365     0.000    0.591E-07    0.137E-07
    12.470     0.000    0.876E-07    0.132E-07
    12.586     0.000    0.772E-07    0.108E-07
    12.682     0.000    0.698E-07    0.107E-07
    12.947     0.000    0.998E-07    0.142E-07
    13.212     0.000    0.873E-07    0.129E-07
    13.318     0.000    0.821E-07    0.165E-07
    13.448     0.000    0.543E-07    0.159E-07
    13.564     0.000    0.985E-07    0.143E-07
    13.664     0.000    0.116E-06    0.152E-07
    13.812     0.000    0.176E-06    0.159E-07
    13.921     0.000    0.166E-06    0.132E-07
    13.970     0.000    0.869E-07    0.126E-07
    14.100     0.000    0.108E-06    0.112E-07
    14.235     0.000    0.137E-06    0.102E-07
    14.350     0.000    0.122E-06    0.111E-07
    14.482     0.000    0.139E-06    0.101E-07
    14.588     0.000    0.175E-06    0.844E-08
    14.600     0.000    0.171E-06    0.108E-07
    14.727     0.000    0.157E-06    0.989E-08
    14.800     0.000    0.175E-06    0.903E-08
    15.047     0.000    0.231E-06    0.105E-07
    15.329     0.000    0.270E-06    0.951E-08
    15.576     0.000    0.231E-06    0.111E-07
    15.788     0.000    0.266E-06    0.118E-07
    16.070     0.000    0.303E-06    0.118E-07
    16.282     0.000    0.381E-06    0.127E-07
    16.565     0.000    0.357E-06    0.147E-07
    16.812     0.000    0.442E-06    0.167E-07
    17.059     0.000    0.368E-06    0.193E-07
    17.306     0.000    0.366E-06    0.246E-07
    17.553     0.000    0.361E-06    0.243E-07
    17.800     0.000    0.444E-06    0.273E-07
    18.330     0.000    0.342E-06    0.268E-07
    18.580     0.000    0.285E-06    0.308E-07
    18.830     0.000    0.317E-06    0.322E-07
    19.055     0.000    0.425E-06    0.326E-07
    19.176     0.000    0.397E-06    0.381E-07
    19.282     0.000    0.344E-06    0.157E-07
    19.318     0.000    0.286E-06    0.503E-07
    19.460     0.000    0.288E-06    0.133E-07
    19.700     0.000    0.315E-06    0.192E-07
    20.195     0.000    0.244E-06    0.229E-07
    21.223     0.000    0.172E-06    0.229E-07
    21.764     0.000    0.235E-06    0.207E-07
    22.282     0.000    0.216E-06    0.272E-07
    22.776     0.000    0.131E-06    0.270E-07
