# fe1_exp_026_054_photoabs_1978Nor.dat                   
#
# Z = 26, A = 54
# No. of entries:   17
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1978Nor  J.W.Norbury, M.N.Thompson, K.Shoda, H.Tsubota; Australian Jour. of Phys. 31, 471(1978).                                                     
#    E         dE       f1           df1
    15.000     0.000    0.179E-06    0.158E-07
    15.500     0.000    0.245E-06    0.229E-07
    16.000     0.000    0.267E-06    0.267E-07
    16.500     0.000    0.321E-06    0.288E-07
    17.000     0.000    0.446E-06    0.419E-07
    17.500     0.000    0.535E-06    0.476E-07
    18.000     0.000    0.636E-06    0.463E-07
    18.500     0.000    0.600E-06    0.450E-07
    19.000     0.000    0.625E-06    0.450E-07
    19.500     0.000    0.658E-06    0.560E-07
    20.000     0.000    0.642E-06    0.568E-07
    20.500     0.000    0.554E-06    0.461E-07
    21.000     0.000    0.463E-06    0.407E-07
    21.500     0.000    0.364E-06    0.331E-07
    22.000     0.000    0.308E-06    0.248E-07
    22.500     0.000    0.287E-06    0.232E-07
    23.000     0.000    0.240E-06    0.226E-07
